Time (EDT)	Latitude	Longitude	Course	kts	mph	meters	Rate	Reporting Facility
Thu 13:52:55	59.2305	15.7583	↙ 240°	454	522	7,010	381 Climbing	 FlightAware ADS-B (JKG / ESGJ)
Thu 13:53:25	59.2006	15.6562	↙ 240°	458	527	7,178	312 Climbing	 FlightAware ADS-B (ESIA)
Thu 13:53:55	59.1679	15.5457	↙ 240°	462	532	7,323	320 Climbing	 FlightAware ADS-B (ESHK)
Thu 13:54:25	59.1363	15.4389	↙ 240°	465	535	7,498	495 Climbing	 FlightAware ADS-B (ESMB)
Thu 13:54:55	59.1045	15.3316	↙ 240°	454	522	7,818	549 Climbing	 FlightAware ADS-B (GOT / ESGG)
Thu 13:55:25	59.0724	15.2244	↙ 240°	450	518	8,047	419 Climbing	 FlightAware ADS-B (ARN / ESSA)
Thu 13:55:55	59.0406	15.1187	↙ 240°	450	518	8,237	381 Climbing	 FlightAware ADS-B (NRK / ESSP)
Thu 13:56:25	59.0095	15.0158	↙ 240°	448	516	8,428	381 Climbing	 FlightAware ADS-B (ESMB)
Thu 13:56:55	58.9787	14.9140	↙ 240°	446	513	8,618	320 Climbing	 FlightAware ADS-B (ESHK)
Thu 13:57:25	58.9471	14.8101	↙ 240°	448	516	8,748	297 Climbing	 FlightAware ADS-B (VST / ESOW)
Thu 13:57:55	58.9147	14.7039	↙ 240°	447	514	8,915	274 Climbing	 FlightAware ADS-B (ESHL)
Thu 13:58:25	58.8845	14.6057	↙ 239°	449	517	9,022	320 Climbing	 FlightAware ADS-B (KSK / ESKK)
Thu 13:58:55	58.8529	14.5031	↙ 239°	444	511	9,235	396 Climbing	 FlightAware ADS-B (LPI / ESSL)
Thu 13:59:25	58.8214	14.4015	↙ 239°	442	509	9,418	328 Climbing	 FlightAware ADS-B (KSK / ESKK)
Thu 13:59:55	58.7899	14.3003	↙ 239°	443	510	9,563	343 Climbing	 FlightAware ADS-B (ENRK)
Thu 14:00:25	58.7586	14.2001	↙ 239°	438	504	9,761	366 Climbing	 FlightAware ADS-B (SCR / ESKS)
Thu 14:00:55	58.7265	14.0978	↙ 239°	437	503	9,929	328 Climbing	 FlightAware ADS-B (KSK / ESKK)
Thu 14:01:25	58.6955	13.9997	↙ 239°	435	501	10,089	343 Climbing	 FlightAware ADS-B (ESVA)
Thu 14:01:55	58.6649	13.9028	↙ 239°	429	494	10,272	259 Climbing	 FlightAware ADS-B (ESHR)
Thu 14:02:25	58.6343	13.8065	↙ 239°	431	496	10,348	213 Climbing	 FlightAware ADS-B (SGD / EKSB)
Thu 14:02:55	58.6030	13.7086	↙ 239°	429	494	10,485	170 Climbing	 FlightAware ADS-B (SCR / ESKS)
Thu 14:03:43	58.5512	13.5473	↙ 238°	434	499	10,569	141 Climbing	 FlightAware ADS-B (RNB / ESDF)
Thu 14:04:13	58.5210	13.4537	↙ 238°	434	499	10,668	183 Climbing	 FlightAware ADS-B (GSE / ESGP)
Thu 14:04:43	58.4893	13.3560	↙ 238°	435	501	10,752	191 Climbing	 FlightAware ADS-B (GSE / ESGP)
Thu 14:05:13	58.4585	13.2612	↙ 238°	431	496	10,859	191 Climbing	 FlightAware ADS-B (THN / ESGT)
Thu 14:05:43	58.4268	13.1638	↙ 238°	431	496	10,942	114 Climbing	 FlightAware ADS-B (GSE / ESGP)
Thu 14:06:13	58.3939	13.0629	↙ 238°	433	498	10,973	30 Climbing	 FlightAware ADS-B (LDK / ESGL)
Thu 14:06:44	58.3620	12.9659	↙ 238°	434	499	10,973	 Level	 FlightAware ADS-B (VXO / ESMX)
Thu 14:07:25	58.3184	12.8352	↙ 239°	434	499	10,973	 Level	 FlightAware ADS-B (SQW / EKSV)
Thu 14:07:55	58.2871	12.7409	↙ 238°	433	498	10,973	 Level	 FlightAware ADS-B (VXO / ESMX)
Thu 14:08:25	58.2541	12.6420	↙ 238°	435	501	10,973	 Level	 FlightAware ADS-B (CPH / EKCH)
Thu 14:08:55	58.2219	12.5459	↙ 238°	435	501	10,973	 Level	 FlightAware ADS-B (CPH / EKCH)
Thu 14:09:25	58.1889	12.4477	↙ 237°	436	502	10,973	8 Climbing	 FlightAware ADS-B (CPH / EKCH)
Thu 14:09:55	58.1570	12.3532	↙ 238°	435	501	10,980	8 Climbing	 FlightAware ADS-B (GSE / ESGP)
Thu 14:10:25	58.1240	12.2557	↙ 237°	434	499	10,980	-8 Descending	 FlightAware ADS-B (CPH / EKCH)
Thu 14:10:55	58.0924	12.1631	↙ 237°	434	499	10,973	-8 Descending	 FlightAware ADS-B (GSE / ESGP)
Thu 14:11:25	58.0595	12.0672	↙ 237°	435	501	10,973	-8 Descending	 FlightAware ADS-B (AAL / EKYT)
Thu 14:11:55	58.0258	11.9690	↙ 237°	435	501	10,965	-8 Descending	 FlightAware ADS-B (RNB / ESDF)
Thu 14:12:25	57.9930	11.8736	↙ 237°	437	503	10,965	8 Climbing	 FlightAware ADS-B (RNB / ESDF)
Thu 14:12:55	57.9612	11.7816	↙ 237°	437	503	10,973	8 Climbing	 FlightAware ADS-B (ESGU)
Thu 14:13:25	57.9283	11.6872	↙ 237°	439	505	10,973	8 Climbing	 FlightAware ADS-B (ESGU)
Thu 14:13:55	57.8945	11.5900	↙ 237°	438	504	10,980	 Level	 FlightAware ADS-B (TRF / ENTO)
Thu 14:14:25	57.8621	11.4980	↙ 236°	432	497	10,973	-8 Descending	 FlightAware ADS-B (ESVK)
Thu 14:14:56	57.8281	11.4015	↙ 237°	432	497	10,973	 Level	 FlightAware ADS-B (ESGU)
Thu 14:15:26	57.7954	11.3084	↙ 237°	425	489	10,973	 Level	 FlightAware ADS-B
Thu 14:15:56	57.7624	11.2159	↙ 236°	422	486	10,973	 Level	 FlightAware ADS-B (ESGU)
Thu 14:16:26	57.7303	11.1256	↙ 236°	423	487	10,973	 Level	 FlightAware ADS-B (ESGU)
Thu 14:16:56	57.6974	11.0334	↙ 236°	425	489	10,973	-8 Descending	 FlightAware ADS-B (ESGU)
Thu 14:17:26	57.6647	10.9419	↙ 236°	427	491	10,965	 Level	 FlightAware ADS-B (VXO / ESMX)
Thu 14:17:56	57.6321	10.8515	↙ 236°	429	494	10,973	15 Climbing	 FlightAware ADS-B (CPH / EKCH)
Thu 14:18:26	57.5984	10.7579	↙ 236°	431	496	10,980	15 Climbing	 FlightAware ADS-B (BLL / EKBI)
Thu 14:18:57	57.5633	10.6611	↙ 236°	431	496	10,988	8 Climbing	 FlightAware ADS-B (EKSN)
Thu 14:19:27	57.5297	10.5688	↙ 236°	430	495	10,988	 Level	 FlightAware ADS-B (EKSN)
Thu 14:19:57	57.4973	10.4802	↙ 236°	428	493	10,988	 Level	 FlightAware ADS-B (AGH / ESTA)
Thu 14:20:27	57.4651	10.3923	↙ 236°	427	491	10,988	-8 Descending	 FlightAware ADS-B (QHU / EDXJ)
Thu 14:20:57	57.4312	10.3008	↙ 235°	425	489	10,980	-15 Descending	 FlightAware ADS-B (EKRD)
Thu 14:21:27	57.3981	10.2114	↙ 236°	424	488	10,973	-15 Descending	 FlightAware ADS-B (GOT / ESGG)
Thu 14:21:57	57.3646	10.1212	↙ 236°	424	488	10,965	-8 Descending	 FlightAware ADS-B (BLL / EKBI)
Thu 14:22:28	57.3306	10.0301	↙ 235°	424	488	10,965	-8 Descending	 FlightAware ADS-B (OSL / ENGM)
Thu 14:22:58	57.2977	9.9418	↙ 235°	425	489	10,958	-8 Descending	 FlightAware ADS-B (AGH / ESTA)
Thu 14:23:28	57.2636	9.8508	↙ 235°	427	491	10,958	 Level	 FlightAware ADS-B (BLL / EKBI)
Thu 14:23:58	57.2304	9.7625	↙ 235°	430	495	10,958	8 Climbing	 FlightAware ADS-B (BLL / EKBI)
Thu 14:24:28	57.1963	9.6722	↙ 235°	433	498	10,965	15 Climbing	 FlightAware ADS-B (ESGU)
Thu 14:24:58	57.1616	9.5807	↙ 235°	435	501	10,973	15 Climbing	 FlightAware ADS-B (EKRD)
Thu 14:25:28	57.1271	9.4903	↙ 235°	436	502	10,980	15 Climbing	 FlightAware ADS-B (EKRD)
Thu 14:25:58	57.0913	9.3968	↙ 236°	436	502	10,988	8 Climbing	 FlightAware ADS-B (SQW / EKSV)
Thu 14:26:28	57.0575	9.3087	↙ 235°	436	502	10,988	 Level	 FlightAware ADS-B (EKRD)
Thu 14:26:58	57.0226	9.2182	↙ 235°	436	502	10,988	-8 Descending	 FlightAware ADS-B (EKRD)
Thu 14:27:28	56.9871	9.1265	↙ 235°	434	499	10,980	-15 Descending	 FlightAware ADS-B (EKRD)
Thu 14:27:58	56.9528	9.0381	↙ 235°	434	499	10,973	-8 Descending	 FlightAware ADS-B (EKVH)
Thu 14:28:28	56.9172	8.9465	↙ 235°	434	499	10,973	 Level	 FlightAware ADS-B (AAL / EKYT)
Thu 14:28:58	56.8834	8.8602	↙ 234°	434	499	10,973	 Level	 FlightAware ADS-B (KRP / EKKA)
Thu 14:29:28	56.8472	8.7680	↙ 234°	434	499	10,973	 Level	 FlightAware ADS-B (AAL / EKYT)
Thu 14:29:58	56.8130	8.6810	↙ 234°	434	499	10,973	 Level	 FlightAware ADS-B (HAD / ESMT)
Thu 14:30:28	56.7789	8.5948	↙ 234°	433	498	10,973	 Level	 FlightAware ADS-B (BLL / EKBI)
Thu 14:30:58	56.7444	8.5078	↙ 234°	433	498	10,973	 Level	 FlightAware ADS-B (BLL / EKBI)
Thu 14:31:28	56.7084	8.4174	↙ 234°	433	498	10,973	 Level	 FlightAware ADS-B (ESGN)
Thu 14:31:58	56.6716	8.3252	↙ 234°	432	497	10,973	6 Climbing	 FlightAware ADS-B (AAL / EKYT)
Thu 14:32:43	56.6189	8.1941	↙ 235°	429	494	10,980	7 Climbing	 FlightAware ADS-B (FCN / ETMN)
Thu 14:33:01	56.5998	8.1467	↙ 235°	427	491	10,980	-9 Descending	 FlightAware ADS-B (SQW / EKSV)
Thu 14:33:31	56.5639	8.0582	↙ 234°	428	493	10,973	-15 Descending	 FlightAware ADS-B (EKGH)
Thu 14:34:01	56.5291	7.9720	↙ 234°	428	493	10,965	-8 Descending	 FlightAware ADS-B (ESGU)
Thu 14:34:31	56.4951	7.8887	↙ 234°	428	493	10,965	 Level	 FlightAware ADS-B (TRF / ENTO)
Thu 14:35:01	56.4597	7.8020	↙ 234°	429	494	10,965	 Level	 FlightAware ADS-B (EKGH)
Thu 14:35:31	56.4236	7.7140	↙ 233°	430	495	10,965	8 Climbing	 FlightAware ADS-B (AAR / EKAH)
Thu 14:36:01	56.3890	7.6299	↙ 233°	429	494	10,973	7 Climbing	 FlightAware ADS-B (HAM / EDDH)
Thu 14:36:34	56.3498	7.5349	↙ 233°	430	495	10,973	 Level	 FlightAware ADS-B (KEL / EDHK)
Thu 14:37:04	56.3142	7.4486	↙ 233°	431	496	10,973	 Level	 FlightAware ADS-B (KEL / EDHK)
Thu 14:37:35	56.2772	7.3601	↙ 233°	431	496	10,973	 Level	 FlightAware ADS-B (AAL / EKYT)
Thu 14:38:05	56.2419	7.2754	↙ 233°	431	496	10,973	8 Climbing	 FlightAware ADS-B (SGD / EKSB)
Thu 14:38:36	56.2049	7.1870	↙ 233°	431	496	10,980	7 Climbing	 FlightAware ADS-B (EKSN)
Thu 14:39:07	56.1675	7.0980	↙ 234°	429	494	10,980	-7 Descending	 FlightAware ADS-B (TRF / ENTO)
Thu 14:39:39	56.1292	7.0076	↙ 233°	430	495	10,973	-7 Descending	 FlightAware ADS-B (AAL / EKYT)
Thu 14:40:10	56.0925	6.9210	↙ 233°	430	495	10,973	-7 Descending	 FlightAware ADS-B (BLL / EKBI)
Thu 14:40:42	56.0543	6.8311	↙ 233°	430	495	10,965	 Level	 FlightAware ADS-B (SVG / ENZV)
Thu 14:41:08	56.0220	6.7552	↙ 234°	430	495	10,973	8 Climbing	 FlightAware ADS-B (RKE / EKRK)
Thu 14:41:38	55.9858	6.6708	↙ 233°	430	495	10,973	 Level	 FlightAware ADS-B (TRF / ENTO)
Thu 14:42:07	55.9524	6.5929	↙ 234°	430	495	10,973	 Level	 FlightAware ADS-B (RKE / EKRK)
Thu 14:42:37	55.9144	6.5047	↙ 233°	431	496	10,973	 Level	 FlightAware ADS-B (AAL / EKYT)
Thu 14:43:08	55.8779	6.4203	↙ 232°	431	496	10,973	 Level	 FlightAware ADS-B (LEY / EHLE)
Thu 14:43:40	55.8391	6.3310	↙ 232°	431	496	10,973	 Level	 FlightAware ADS-B (LEY / EHLE)
Thu 14:44:10	55.8017	6.2450	↙ 232°	431	496	10,973	 Level	 FlightAware ADS-B (LEY / EHLE)
Thu 14:44:41	55.7652	6.1613	↙ 232°	433	498	10,973	 Level	 FlightAware ADS-B (AAL / EKYT)
Thu 14:45:11	55.7273	6.0748	↙ 232°	433	498	10,973	 Level	 FlightAware ADS-B (EDWF)
Thu 14:45:41	55.6901	5.9904	↙ 232°	434	499	10,973	 Level	 FlightAware ADS-B (AAL / EKYT)
Thu 14:46:11	55.6546	5.9101	↙ 232°	435	501	10,973	 Level	 FlightAware ADS-B (LEY / EHLE)
Thu 14:46:41	55.6165	5.8240	↙ 232°	436	502	10,973	 Level	 FlightAware ADS-B (ODE / EKOD)
Thu 14:47:12	55.5772	5.7356	↙ 232°	437	503	10,973	6 Climbing	 FlightAware ADS-B (EHHO)
Thu 14:47:52	55.5266	5.6222	↙ 232°	437	503	10,980	6 Climbing	 FlightAware ADS-B (EBJ / EKEB)
Thu 14:48:22	55.4893	5.5393	↙ 232°	436	502	10,980	 Level	 FlightAware ADS-B (EBJ / EKEB)
Thu 14:48:52	55.4528	5.4580	↙ 233°	436	502	10,980	-8 Descending	 FlightAware ADS-B (SQW / EKSV)
Thu 14:49:22	55.4153	5.3749	↙ 233°	435	501	10,973	-8 Descending	 FlightAware ADS-B (SQW / EKSV)
Thu 14:49:53	55.3774	5.2913	↙ 231°	436	502	10,973	 Level	 FlightAware ADS-B (SQW / EKSV)
Thu 14:50:23	55.3399	5.2088	↙ 233°	436	502	10,973	 Level	 FlightAware ADS-B (SQW / EKSV)
Thu 14:50:53	55.3005	5.1233	↙ 230°	438	504	10,973	 Level	 FlightAware ADS-B (AMS / EHAM)
Thu 14:51:22	55.2618	5.0523	↙ 224°	441	507	10,973	 Level	 FlightAware ADS-B (UTC / EHSB)
Thu 14:51:47	55.2218	4.9925	↙ 218°	444	511	10,973	10 Climbing	 FlightAware ADS-B (UTC / EHSB)
Thu 14:52:07	55.1876	4.9503	↙ 214°	446	513	10,980	 Level	 FlightAware ADS-B (ENS / EHTW)
Thu 14:52:44	55.1216	4.8846	↙ 208°	448	516	10,973	-7 Descending	 FlightAware ADS-B (HUY / EGNJ)
Thu 14:53:14	55.0666	4.8327	↙ 209°	447	514	10,973	 Level	 FlightAware ADS-B (DHR / EHKD)
Thu 14:53:44	55.0128	4.7822	↙ 208°	447	514	10,973	 Level	 FlightAware ADS-B (DHR / EHKD)
Thu 14:54:14	54.9589	4.7319	↙ 208°	446	513	10,973	 Level	 FlightAware ADS-B (EHDR)
Thu 14:54:44	54.9042	4.6810	↙ 208°	446	513	10,973	 Level	 FlightAware ADS-B (EHDR)
Thu 14:55:14	54.8491	4.6298	↙ 208°	447	514	10,973	 Level	 FlightAware ADS-B (RTM / EHRD)
Thu 14:55:44	54.7954	4.5801	↙ 208°	447	514	10,973	 Level	 FlightAware ADS-B (BLL / EKBI)
Thu 14:56:14	54.7413	4.5306	↙ 208°	446	513	10,973	 Level	 FlightAware ADS-B (EDLS)
Thu 14:56:44	54.6871	4.4806	↙ 208°	446	513	10,973	 Level	 FlightAware ADS-B (EHHV)
Thu 14:57:14	54.6313	4.4295	↙ 208°	445	512	10,973	 Level	 FlightAware ADS-B (DHR / EHKD)
Thu 14:57:44	54.5772	4.3800	↙ 208°	445	512	10,973	 Level	 FlightAware ADS-B (BRU / EBBR)
Thu 14:58:15	54.5183	4.3264	↙ 208°	446	513	10,973	 Level	 FlightAware ADS-B (GRQ / EHGG)
Thu 14:58:46	54.4656	4.2785	↙ 208°	446	513	10,973	 Level	 FlightAware ADS-B (EHTE)
Thu 14:59:06	54.4287	4.2436	↙ 211°	445	512	10,973	 Level	 FlightAware ADS-B (EHVB)
Thu 14:59:26	54.3945	4.2056	↙ 215°	443	510	10,973	 Level	 FlightAware ADS-B (EGCJ)
Thu 14:59:56	54.3439	4.1451	↙ 215°	443	510	10,973	 Level	 FlightAware ADS-B (HUY / EGNJ)
Thu 15:00:26	54.2922	4.0836	↙ 215°	444	511	10,973	 Level	 FlightAware ADS-B (EHDR)
Thu 15:00:56	54.2443	4.0267	↙ 215°	443	510	10,973	 Level	 FlightAware ADS-B (UTC / EHSB)
Thu 15:01:26	54.1930	3.9657	↙ 215°	444	511	10,973	 Level	 FlightAware ADS-B (EHDR)
Thu 15:01:56	54.1400	3.9032	↙ 215°	444	511	10,973	 Level	 FlightAware ADS-B (AMS / EHAM)
Thu 15:02:26	54.0935	3.8484	↙ 215°	444	511	10,973	 Level	 FlightAware ADS-B (BQH / EGKB)
Thu 15:02:56	54.0412	3.7869	↙ 215°	443	510	10,973	 Level	 FlightAware ADS-B (EHDR)
Thu 15:03:26	53.9895	3.7263	↙ 215°	443	510	10,973	-8 Descending	 FlightAware ADS-B (LBA / EGNM)
Thu 15:03:56	53.9390	3.6673	↙ 215°	444	511	10,965	 Level	 FlightAware ADS-B (AMS / EHAM)
Thu 15:04:26	53.8884	3.6084	↙ 214°	444	511	10,973	8 Climbing	 FlightAware ADS-B (LBA / EGNM)
Thu 15:04:56	53.8412	3.5535	↙ 215°	444	511	10,973	 Level	 FlightAware ADS-B (EHVB)
Thu 15:05:26	53.7873	3.4911	↙ 214°	445	512	10,973	 Level	 FlightAware ADS-B (EGSM)
Thu 15:05:56	53.7387	3.4349	↙ 214°	445	512	10,973	 Level	 FlightAware ADS-B (LBA / EGNM)
Thu 15:06:26	53.6877	3.3762	↙ 214°	445	512	10,973	 Level	 FlightAware ADS-B (GLO / EGBJ)
Thu 15:06:56	53.6365	3.3174	↙ 214°	445	512	10,973	8 Climbing	 FlightAware ADS-B (LCY / EGLC)
Thu 15:07:26	53.5857	3.2593	↙ 214°	445	512	10,980	 Level	 FlightAware ADS-B (UTC / EHSB)
Thu 15:07:56	53.5339	3.2002	↙ 214°	445	512	10,973	-8 Descending	 FlightAware ADS-B (LEY / EHLE)
Thu 15:08:26	53.4808	3.1398	↙ 214°	445	512	10,973	 Level	 FlightAware ADS-B (HUY / EGNJ)
Thu 15:08:49	53.4469	3.0951	↙ 221°	443	510	10,973	 Level	 FlightAware ADS-B (EHTE)
Thu 15:09:32	53.3865	2.9862	↙ 229°	442	509	10,973	6 Climbing	 FlightAware ADS-B (ETND)
Thu 15:10:02	53.3464	2.9085	↙ 229°	441	507	10,980	 Level	 FlightAware ADS-B (EGSQ)
Thu 15:10:32	53.3066	2.8316	↙ 229°	440	506	10,973	-8 Descending	 FlightAware ADS-B (EGNA)
Thu 15:11:02	53.2670	2.7551	↙ 229°	440	506	10,973	-8 Descending	 FlightAware ADS-B (EGNA)
Thu 15:11:32	53.2264	2.6770	↙ 229°	441	507	10,965	-8 Descending	 FlightAware ADS-B (EGNF)
Thu 15:12:02	53.1870	2.6012	↙ 229°	441	507	10,965	 Level	 FlightAware ADS-B (EGTC)
Thu 15:12:32	53.1480	2.5269	↙ 229°	442	509	10,965	8 Climbing	 FlightAware ADS-B (BRU / EBBR)
Thu 15:13:02	53.1078	2.4501	↙ 229°	442	509	10,973	8 Climbing	 FlightAware ADS-B (EGWE)
Thu 15:13:32	53.0675	2.3735	↙ 229°	442	509	10,973	6 Climbing	 FlightAware ADS-B (LHR / EGLL)
Thu 15:14:15	53.0089	2.2623	↙ 229°	441	507	10,980	7 Climbing	 FlightAware ADS-B (QCY / EGXC)
Thu 15:14:36	52.9806	2.2089	↙ 229°	441	507	10,980	 Level	 FlightAware ADS-B (LKZ / EGUL)
Thu 15:15:06	52.9404	2.1332	↙ 229°	440	506	10,980	-8 Descending	 FlightAware ADS-B (LKZ / EGUL)
Thu 15:15:36	52.9008	2.0588	↙ 229°	440	506	10,973	-8 Descending	 FlightAware ADS-B (EGTC)
Thu 15:16:06	52.8602	1.9829	↙ 229°	439	505	10,973	-8 Descending	 FlightAware ADS-B (LHR / EGLL)
Thu 15:16:36	52.8200	1.9079	↙ 229°	441	507	10,965	 Level	 FlightAware ADS-B (LCY / EGLC)
Thu 15:17:06	52.7783	1.8301	↙ 229°	441	507	10,973	8 Climbing	 FlightAware ADS-B (EGHR)
Thu 15:17:36	52.7381	1.7555	↙ 229°	442	509	10,973	 Level	 FlightAware ADS-B (EGSO)
Thu 15:18:06	52.6982	1.6816	↙ 228°	442	509	10,973	 Level	 FlightAware ADS-B (LBA / EGNM)
Thu 15:18:36	52.6565	1.6050	↙ 228°	443	510	10,973	 Level	 FlightAware ADS-B (QCY / EGXC)
Thu 15:19:06	52.6163	1.5309	↙ 228°	442	509	10,973	 Level	 FlightAware ADS-B (GLZ / EHGR)
Thu 15:19:36	52.5758	1.4565	↙ 228°	442	509	10,973	 Level	 FlightAware ADS-B (EGHO)
Thu 15:20:06	52.5342	1.3806	↙ 228°	442	509	10,973	 Level	 FlightAware ADS-B (EGBW)
Thu 15:20:36	52.4933	1.3061	↙ 228°	442	509	10,973	 Level	 FlightAware ADS-B (EGST)
Thu 15:21:06	52.4509	1.2290	↙ 228°	441	507	10,973	 Level	 FlightAware ADS-B (RCS / EGTO)
Thu 15:21:30	52.4200	1.1731	↙ 228°	441	507	10,973	 Level	 FlightAware ADS-B (EMA / EGNX)
Thu 15:21:59	52.3810	1.1028	↙ 229°	441	507	10,973	 Level	 FlightAware ADS-B (LKZ / EGUL)
Thu 15:22:29	52.3372	1.0253	↙ 226°	443	510	10,973	 Level	 FlightAware ADS-B (EGTC)
Thu 15:22:52	52.3038	0.9721	↙ 224°	443	510	10,973	 Level	 FlightAware ADS-B (AMS / EHAM)
Thu 15:23:22	52.2609	0.9044	↙ 224°	444	511	10,973	 Level	 FlightAware ADS-B (EGCL)
Thu 15:23:52	52.2163	0.8343	↙ 224°	446	513	10,973	8 Climbing	 FlightAware ADS-B (CEG / EGNR)
Thu 15:24:22	52.1711	0.7635	↙ 224°	445	512	10,980	8 Climbing	 FlightAware ADS-B (EGCB)
Thu 15:24:52	52.1281	0.6963	↙ 224°	445	512	10,980	 Level	 FlightAware ADS-B (EGTC)
Thu 15:25:22	52.0837	0.6273	↙ 224°	444	511	10,980	 Level	 FlightAware ADS-B (EGSB)
Thu 15:25:45	52.0494	0.5738	↙ 224°	444	511	10,980	-9 Descending	 FlightAware ADS-B (EGBF)
Thu 15:26:10	52.0123	0.5163	↙ 224°	444	511	10,973	-8 Descending	 FlightAware ADS-B (EGUV)
Thu 15:26:40	51.9682	0.4482	↙ 224°	445	512	10,973	 Level	 FlightAware ADS-B (BRS / EGGD)
Thu 15:27:10	51.9239	0.3799	↙ 224°	444	511	10,973	 Level	 FlightAware ADS-B (LCY / EGLC)
Thu 15:27:40	51.8790	0.3108	↙ 224°	444	511	10,973	 Level	 FlightAware ADS-B (EGKR)
Thu 15:28:10	51.8342	0.2422	↙ 224°	446	513	10,973	 Level	 FlightAware ADS-B (EGNA)
Thu 15:28:40	51.7879	0.1716	↙ 223°	446	513	10,973	 Level	 FlightAware ADS-B (EGOW)
Thu 15:29:10	51.7449	0.1058	↙ 224°	446	513	10,973	 Level	 FlightAware ADS-B (EGSX)
Thu 15:29:40	51.6993	0.0365	↙ 223°	447	514	10,973	61 Climbing	 FlightAware ADS-B (NWI / EGSH)
Thu 15:30:10	51.6531	-0.0334	↙ 223°	446	513	11,034	130 Climbing	 FlightAware ADS-B (EGTC)
Thu 15:30:40	51.6080	-0.1017	↙ 223°	445	512	11,102	144 Climbing	 FlightAware ADS-B (QUY / EGUY)
Thu 15:31:01	51.5790	-0.1455	↙ 223°	440	506	11,156	161 Climbing	 FlightAware ADS-B (EGMT)
Thu 15:31:31	51.5323	-0.2157	↙ 223°	434	499	11,240	122 Climbing	 FlightAware ADS-B (LCY / EGLC)
