CN-kod,Beskrivning_final,Tullsats
33049100,"Puder, för skönhetsvård eller hudvård, inkl. babypuder, även hoppressat (exkl. medikamenter)",25%
33053000,Hårsprayer,10%
48182010,"Näsdukar och servetter för rengöring av ansikte eller händer, av pappersmassa, papper, cellulosavadd eller duk av cellulosafibrer",25%
48182091,"Handdukar och hushållspapper, av pappersmassa, papper, cellulosavadd eller duk av cellulosafibrer, i rullar med en bredd av <= 36 cm",25%
48182099,"Handdukar och hushållspapper, av pappersmassa, papper, cellulosavadd eller duk av cellulosafibrer (exkl. i rullar med en bredd av <= 36 cm)",25%
48183000,"Borddukar och bordsservetter, av pappersmassa, papper, cellulosavadd eller duk av cellulosafibrer",25%
48185000,"Kläder och tillbehör till kläder, av pappersmassa, papper, cellulosavadd eller duk av cellulosafibrer (exkl. skodon och delar av skodon, inläggningssulor, hälsulor och liknande lösa inläggningstillbehör, huvudbonader och delar till huvudbonader)",25%
48189010,"Artiklar, av pappersmassa, papper, cellulosavadd eller duk av cellulosafibrer, som används till kirurgiskt, medicinskt eller sanitärt bruk, inte i detaljhandelsförpackningar (exkl. toalettpapper, näsdukar, servetter för rengöring av ansikte eller händer, handdukar, hushållspapper, borddukar, bordsservetter, sanitetsbindor, sanitetstamponger, blöjor till spädbarn och liknande sanitetsartiklar samt kläder och tillbehör till kläder)",25%
48189090,"Papper, cellulosavadd eller duk av cellulosafibrer, av sådana slag som används för hushållsändamål eller sanitärt ändamål, i rullar med en bredd <= 36 cm, eller nedskurna till bestämd storlek eller form; hushållsartiklar, sanitetsartiklar och sjukhusartiklar, av pappersmassa, papper, cellulosavadd eller duk av cellulosafibrer (exkl. toalettpapper, näsdukar, servetter för rengöring av ansikte eller händer, handdukar, hushållspapper, borddukar, bordsservetter, sanitetsbindor, sanitetstamponger, blöjor till spädbarn, liknande sanitetsartiklar kläder och tillbehör till kläder samt artiklar av sådana slag som används till kirurgiskt, medicinskt eller sanitärt bruk, inte i detaljhandelsförpackningar)",25%
56060091,"Garn, överspunnet (exkl.metalliserat garn och överspunnet tagelgarn, gummitråd överspunnen med textil, milaneriska och liknande snören och andra överspunnna textilvaror samt överspunnen metalltråd)",10%
56060099,"Chenillegarn samt remsor o.d. enligt nr 5404 eller 5405 (exkl. metalliserat garn och överspunnet tagelgarn, gummitråd överspunnen med textil, milaneriska och liknande snören och andra överspunnna textilvaror samt överspunnen metalltråd)",10%
59070000,"Textilvävnader, med annan impregnering, annat överdrag eller annan beläggning; målade teaterkulisser, ateljéfonder o.d., av textilvävnad",10%
59111000,"Textilvävnader, filt och filtbelagda vävnader, överdragna, belagda eller laminerade med gummi, läder eller annat material, av sådana slag som används till kardbeslag samt liknande varor av sådana slag som används för annat tekniskt bruk, inkl. band av sammet impregnerat med gummi för överdragning av vävspolar ""vävbommar""",10%
59112000,"Siktduk, även konfektionerad",10%
59113111,"Textilvävnader, även filtade, av natursilke eller konstfibrer, ändlösa eller försedda med hopfästningsanordningar, av sådana slag som används i pappersmaskiner t.ex. viraduk, vägande < 650 g/m²",10%
59113119,"Textilvävnader och filt, av natursilke eller regenatfibrer, ändlösa eller försedda med hopfästningsanordningar, av sådana slag som används i pappersmaskiner, och textilvävnader och filt, av natursilke eller konstfibrer av sådana slag som används i liknande maskiner, vägande < 650 g/m²",10%
59113190,"Textilvävnader och filt, ändlösa eller försedda med hopfästningsanordningar, av sådana slag som används i pappersmaskiner eller liknande maskiner, t.ex. för massa eller asbestcement, vägande < 650 g/m² (exkl. av natursilke eller konstfibrer)",10%
59113211,"Textilvävnader med nålad filt, av natursilke eller konstfibrer, ändlösa eller försedda med hopfästningsanordningar, av sådana slag som används i pappersmaskiner t.ex. pressfilt, vägande >= 650 g/m²",10%
59113219,"Textilvävnader och filt, av natursilke eller konstfibrer, ändlösa eller försedda med hopfästningsanordningar, av sådana slag som används i pappersmaskiner eller liknande maskiner, t.ex. för massa eller asbestcement, vägande >= 650 g/m² (exkl. med nålad filt, pressfilt)",10%
59113290,"Textilvävnader och filt, ändlösa eller försedda med hopfästningsanordningar, av sådana slag som används i pappersmaskiner eller liknande maskiner, t.ex. för massa eller asbestcement, vägande >= 650 g/m² (exkl. av natursilke eller konstfibrer)",10%
61091000,"T-tröjor, undertröjor och liknande tröjor, av trikå av bomull",25%
61099020,"T-tröjor, undertröjor och liknande tröjor, av trikå av ull eller fina djurhår eller av trikå av konstfibrer",25%
61099090,"T-tröjor, undertröjor och liknande tröjor, av trikå av textilmaterial (exkl. av bomull, ull eller fina djurhår eller konstfibrer)",25%
62034211,"Långbyxor och knäbyxor: arbets- och skyddsbenkläder, av bomull, för män eller pojkar (exkl. varor av trikå)",25%
62034231,"Långbyxor och knäbyxor, av denim, för män eller pojkar (exkl. arbets- och skyddsbenkläder samt kalsonger)",25%
62034233,"Långbyxor och knäbyxor, av manchestersammet, för män eller pojkar (exkl. arbets- och skyddsbenkläder samt kalsonger)",25%
62034235,"Långbyxor och knäbyxor, av bomull, för män eller pojkar (exkl. av manchestersammet, denim eller av trikå samt arbets- och skyddsbenkläder samt och kalsonger)",25%
62034251,"Arbets- och skyddsbyxor med bröstlapp, av bomull, för män eller pojkar (exkl. varor av trikå)",25%
62034259,"Byxor med bröstlapp av bomull, för män eller pojkar (exkl. varor av trikå samt arbets- och skyddsbyxor)",25%
62034290,"Kortbyxor av bomull, för män eller pojkar (exkl. varor av trikå samt badbyxor och kalsonger)",25%
62034311,"Långbyxor och knäbyxor: arbets- och skyddsbenkläder, av syntetfibrer, för män eller pojkar (exkl. varor av trikå)",25%
62034319,"Långbyxor och knäbyxor, av syntetfibrer, för män eller pojkar (exkl. varor av trikå samt arbets- och skyddsbenkläder samt kalsonger)",25%
62034331,"Arbets- och skyddsbyxor med bröstlapp, av syntetfibrer, för män eller pojkar (exkl. varor av trikå)",25%
62034339,"Byxor med bröstlapp av syntetfibrer, för män eller pojkar (exkl. varor av trikå samt arbets- och skyddsbyxor)",25%
62034390,"Kortbyxor av syntetfibrer, för män eller pojkar (exkl. varor av trikå samt badbyxor och kalsonger)",25%
62046211,"Långbyxor och knäbyxor: arbets- och skyddsbenkläder, av bomull, för kvinnor eller flickor (exkl. varor av trikå)",25%
62046231,"Långbyxor och knäbyxor, av denim, för kvinnor eller flickor (exkl. arbets- och skyddsbenkläder samt trosor)",25%
62046233,"Långbyxor och knäbyxor, av manchestersammet, för kvinnor eller flickor (exkl. arbets- och skyddsbenkläder samt trosor)",25%
62046239,"Långbyxor och knäbyxor, av bomull, för kvinnor eller flickor (exkl. av manchestersammet, denim eller av trikå samt arbets- och skyddsbenkläder, trosor och underdelar av träningsoveraller)",25%
62046251,"Arbets- och skyddsbyxor med bröstlapp, av bomull, för kvinnor eller flickor (exkl. varor av trikå)",25%
62046259,"Byxor med bröstlappav av bomull, för kvinnor eller flickor (exkl. varor av trikå samt arbets- och skyddsbyxor)",25%
62046290,"Kortbyxor av bomull, för kvinnor eller flickor (exkl. varor av trikå samt trosor och baddräkter)",25%
62053000,"Skjortor av konstfibrer, för män eller pojkar (exkl. varor av trikå samt nattskjortor)",25%
63013010,"Res- och sängfiltar av trikå, av bomull (exkl. res- och sängfiltar med elektrisk uppvärmning, sängöverkast samt sängkläder och liknande)",25%
63013090,"Res- och sängfiltar av bomull (exkl. res- och sängfiltar av trikå och med elektrisk uppvärmning, sängöverkast samt sängkläder och liknande)",25%
63023100,Sänglinne av bomull (exkl. tryckt eller av trikå),25%
64021900,"Skodon för sport eller idrott, med yttersulor och överdelar av gummi eller plast (exkl. vattentäta skodon enligt nr 6401, skidskor, snowboardskor samt skridskokängor med fastsatta skridskor)",25%
64029910,"Skodon som inte täcker ankeln, med yttersulor av gummi eller plast och med överdelar av gummi (exkl. skodon enligt nr 6402.20, vattentäta skodon enligt nr 6401, sportskodon, ortopediska skodon och leksaksskor)",25%
64029931,"Skodon med yttersulor av gummi eller plast och med överdelar av plast, vars främre överdelar består av remmar eller har en eller flera utskärningar, med sammanlagd höjd av sula och klack > 3 cm (exkl. skodon enligt nr 6402.20)",25%
64029939,"Skodon med yttersulor av gummi eller plast och med överdelar av plast, vars främre överdelar består av remmar eller har en eller flera utskärningar (exkl. med sammanlagd höjd av sula och klack > 3 cm samt skodon enligt nr 6402.20)",25%
64029950,"Tofflor och andra inneskor, med yttersulor och överdelar av plast (exkl. skodon enligt nr 6402.20 samt leksaksskor)",25%
64029991,"Skodon som inte täcker ankeln, med yttersulor och överdelar av gummi eller plast, med längsta invändiga mått < 24 cm (exkl. skodon med tåhätteförstärkning av metall och skodon enligt nr 6402.20, tofflor, sportskodon, vattentäta skodon enligt nr 6401, ortopediska skodon samt leksaksskor)",25%
64029993,"Skodon som inte täcker ankeln, som inte kan identifieras som avsedda för herrar eller damer, med yttersula och överdelar av gummi eller plast, med längsta invändiga mått >= 24 cm (exkl. skodon med tåhätteförstärkning av metall och skodon enligt nr 6402.20, tofflor, sportskodon, vattentäta skodon enligt nr 6401 samt ortopediska skodon)",25%
64029996,"Skodon för herrar, som inte täcker ankeln, med yttersulor och överdelar av gummi eller plast, med längsta invändiga mått >= 24 cm (exkl. skodon med tåhätteförstärkning av metall och skodon enligt nr 6402.20, tofflor, sportskodon, vattentäta skodon enligt nr 6401 samt ortopediska skodon)",25%
64029998,"Skodon för damer, som inte täcker ankeln, med yttersulor och överdelar av gummi eller plast, med längsta invändiga mått >= 24 cm (exkl. skodon med tåhätteförstärkning av metall och skodon enligt nr 6402.20, tofflor, sportskodon, vattentäta skodon enligt nr 6401 samt ortopediska skodon)",25%
64035905,"Skodon med överdelar av läder, med botten av trä (exkl. innersula och tåhätteförstärkning av metall samt med skaft som täcker ankeln)",25%
64035911,"Skodon med yttersulor och överdelar av läder, vars främre överdel består av remmar eller har en eller flera utskärningar, med sammanlagd höjd av sula och klack > 3 cm (exkl. skodon med överdelar bestående av läderband runt vristen och stortån)",25%
64035931,"Skodon med yttersulor och överdelar av läder, vars främre överdelar består av remmar eller har en eller flera utskärningar och med längsta invändiga mått < 24 cm (exkl. skodon med överdelar bestående av läderband runt vristen och stortån samt leksaksskor)",25%
64035935,"Skodon för herrar, med yttersulor och överdelar av läder, vars främre överdelar består av remmar eller har en eller flera utskärningar och med längsta invändiga mått >= 24 cm (exkl. skodon med överdelar bestående av läderband runt vristen och stortån)",25%
64035939,"Skodon för damer, med yttersulor och överdelar av läder, vars främre överdelar består av remmar eller har en eller flera utskärningar och med längsta invändiga mått >= 24 cm (exkl. skodon med överdelar bestående av läderband runt vristen och stortån)",25%
64035950,"Tofflor och andra inneskor, med skaft som inte täcker ankeln, med yttersulor och överdelar av läder (exkl. skodon vars främre överdelar består av remmar samt leksaksskor)",25%
64035991,"Skodon med skaft som inte täcker ankeln, med yttersulor och överdelar av läder, med längsta invändiga mått < 24 cm (exkl. skodon med tåhätteförstärkning av metall, skodon med botten av trä, utan innersula, samt skodon vars främre överdelar består av remmar eller har en eller flera utskärningar, tofflor och andra inneskor, sportskodon, ortopediska skodon och leksaksskor)",25%
64035995,"Skodon för herrar, med skaft som inte täcker ankeln, med yttersulor och överdelar av läder, med längsta invändiga mått >= 24 cm (exkl. skodon med tåhätteförstärkning av metall, skodon med botten av trä, utan innersula, samt skodon vars främre överdelar består av remmar eller har en eller flera utskärningar, tofflor och andra inneskor, sportskodon och ortopediska skodon)",25%
64035999,"Skodon för damer, med skaft som inte täcker ankeln, med yttersulor och överdelar av läder, med längsta invändiga mått >= 24 cm (exkl. skodon med tåhätteförstärkning av metall, skodon med botten av trä, utan innersula, samt skodon vars främre överdelar består av remmar eller har en eller flera utskärningar, tofflor och andra inneskor, sportskodon och ortopediska skodon)",25%
66011000,Trädgårdsparasoller och liknande parasoller,25%
69111000,"Bords- och köksartiklar, av porslin (exkl. prydnadsföremål; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor; kaffe- och kryddkvarnar med behållare av keramik samt mekanismer av metall)",25%
69119000,"Hushållsartiklar samt toalettartiklar, av porslin (exkl. bords- och köksartiklar samt diskhoar, tvättställ, pelare till tvättställ, badkar, bidéer, WC-stolar, spolcisterner, urinaler o.d. sanitetsartiklar för installation; statyetter och andra prydnadsföremål; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor; kaffe- och kryddkvarnar med behållare av keramik samt mekanismer av metall)",25%
69120021,"Bords- och köksartiklar, av vanligt lergods (exkl. statyetter och andra prydnadsföremål; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor; kaffe- och kryddkvarnar med behållare av keramik samt mekanismer av metall)",25%
69120023,"Bords- och köksartiklar, av stengods (exkl. statyetter och andra prydnadsföremål; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor; kaffe- och kryddkvarnar med behållare av keramik samt mekanismer av metall)",25%
69120025,"Bords- och köksartiklar, av fajans eller keramik (exkl. statyetter och andra prydnadsföremål; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor; kaffe- och kryddkvarnar med behållare av keramik samt mekanismer av metall)",25%
69120029,"Bords- och köksartiklar och andra hushållsartiklar samt toalettartiklar, av keramisk material (exkl. varor av porslin, vanligt lergods, stengods, fajans eller keramik samt diskhoar, tvättställ, pelare till tvättställ, badkar, bidéer, WC-stolar, spolcisterner, urinaler o.d. sanitetsartiklar för installation; statyetter och andra prydnadsföremål; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor; kaffe- och kryddkvarnar med behållare av keramik samt mekanismer av metall)",25%
69120081,"Hushållsartiklar samt toalettartiklar, av vanligt lergods (exkl. bords- och köksartiklar, diskhoar, tvättställ, pelare till tvättställ, badkar, bidéer, wc-stolar, spolcisterner, urinaler och liknande sanitetsartiklar för installation; statyetter och andra prydnadsföremåll; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor)",25%
69120083,"Hushållsartiklar samt toalettartiklar, av stengods (exkl. bords- och köksartiklar, diskhoar, tvättställ, pelare till tvättställ, badkar, bidéer, wc-stolar, spolcisterner, urinaler och liknande sanitetsartiklar för installation; statyetter och andra prydnadsföremåll; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor)",25%
69120085,"Hushållsartiklar samt toalettartiklar, av fajans eller keramik (exkl. bords- och köksartiklar, diskhoar, tvättställ, pelare till tvättställ, badkar, bidéer, wc-stolar, spolcisterner, urinaler och liknande sanitetsartiklar för installation; statyetter och andra prydnadsföremåll; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor)",25%
69120089,"Hushållsartiklar samt toalettartiklar, av keramiskta material (exkl. varor av porslin, vanligt lergods, stengods, fajans eller keramik, bords- och köksartiklar, diskhoar, tvättställ, pelare till tvättställ, badkar, bidéer, wc-stolar, spolcisterner, urinaler och liknande sanitetsartiklar för installation; statyetter och andra prydnadsföremåll; krukor, burkar o.d. artiklar, av sådana slag som används för transport eller förpackning av varor)",25%
69131000,Statyetter och andra prydnadsföremål av porslin,25%
69139010,Statyetter och andra prydnadsföremål av vanligt lergods,25%
69139093,Statyetter och andra prydnadsföremål av fajans eller keramik,25%
69139098,"Statyetter och andra prydnadsföremål av keramisk material (exkl. av porslin, vanligt lergods, fajans eller keramik)",25%
69141000,"Porslin, varor av, i.a.n.",25%
69149000,"Keramiskt material, varor av, i.a.n. (exkl. av porslin)",25%
70052125,"Flytglas och annat planglas utan trådinlägg, ytslipat eller ytpolerat, genomfärgat, opaliserat, försett med överfång eller underfång eller enbart ytslipat, men inte bearbetat på annat sätt, med en tjocklek av <= 3,5 mm (exkl. med ett absorberande, reflekterande eller icke-reflekterande skikt)",25%
70052130,"Flytglas och annat planglas utan trådinlägg, ytslipat eller ytpolerat, genomfärgat, opaliserat, försett med överfång eller underfång eller enbart ytslipat, men inte bearbetat på annat sätt, med en tjocklek av > 3,5 mm men <= 4,5 mm (exkl. med ett absorberande, reflekterande eller icke-reflekterande skikt)",25%
