Minut	Sekund 00	Sekund 01	Sekund 02	Sekund 03	Sekund 04	Sekund 05	Sekund 06	Sekund 07	Sekund 08	Sekund 09	Sekund 10	Sekund 11	Sekund 12	Sekund 13	Sekund 14	Sekund 15	Sekund 16	Sekund 17	Sekund 18	Sekund 19	Sekund 20	Sekund 21	Sekund 22	Sekund 23	Sekund 24	Sekund 25	Sekund 26	Sekund 27	Sekund 28	Sekund 29	Sekund 30	Sekund 31	Sekund 32	Sekund 33	Sekund 34	Sekund 35	Sekund 36	Sekund 37	Sekund 38	Sekund 39	Sekund 40	Sekund 41	Sekund 42	Sekund 43	Sekund 44	Sekund 45	Sekund 46	Sekund 47	Sekund 48	Sekund 49	Sekund 50	Sekund 51	Sekund 52	Sekund 53	Sekund 54	Sekund 55	Sekund 56	Sekund 57	Sekund 58	Sekund 59
23:39	49,959 Hz	49,958 Hz	49,958 Hz	49,958 Hz	49,958 Hz	49,958 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,955 Hz	49,955 Hz	49,955 Hz	49,955 Hz	49,955 Hz	49,955 Hz	49,954 Hz	49,954 Hz	49,954 Hz	49,954 Hz	49,953 Hz	49,953 Hz	49,953 Hz	49,953 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz
23:40	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,953 Hz	49,953 Hz	49,953 Hz	49,953 Hz	49,954 Hz	49,954 Hz	49,954 Hz	49,954 Hz	49,955 Hz	49,955 Hz	49,955 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,958 Hz	49,958 Hz	49,959 Hz	49,959 Hz	49,96 Hz	49,96 Hz
23:41	49,961 Hz	49,961 Hz	49,962 Hz	49,962 Hz	49,963 Hz	49,963 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,966 Hz
23:42	49,966 Hz	49,966 Hz	49,966 Hz	49,967 Hz	49,967 Hz	49,968 Hz	49,968 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,969 Hz	49,969 Hz
23:43	49,97 Hz	49,97 Hz	49,97 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,97 Hz	49,97 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,973 Hz	49,973 Hz	49,974 Hz	49,975 Hz	49,975 Hz	49,976 Hz	49,976 Hz	49,977 Hz	49,978 Hz	49,978 Hz	49,979 Hz	49,979 Hz	49,98 Hz	49,98 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,982 Hz	49,982 Hz	49,982 Hz
23:44	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,974 Hz	49,974 Hz
23:45	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,971 Hz	49,971 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,968 Hz	49,968 Hz	49,968 Hz
23:46	49,968 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,96 Hz	49,96 Hz	49,96 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,961 Hz
23:47	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,964 Hz	49,964 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,968 Hz	49,968 Hz
23:48	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz
23:49	49,978 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,972 Hz	49,972 Hz	49,972 Hz
23:50	49,973 Hz	49,973 Hz	49,973 Hz	49,973 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz
23:51	49,976 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,977 Hz	49,977 Hz	49,976 Hz	49,976 Hz	49,975 Hz	49,974 Hz	49,974 Hz	49,973 Hz	49,972 Hz	49,971 Hz	49,971 Hz	49,97 Hz	49,969 Hz	49,969 Hz	49,968 Hz	49,968 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,97 Hz
