Datum;Skolenhetskod;Skolenhetsnamn;Status;Huvudman_PeOrgNr;Huvudman_Namn;Huvudman_Typ;Skolenhet_ValidFrom;Rektorsnamn;Startdatum;Nedlaggningsdatum;AntalElever
2025-01-20;30030749;Västervångskolans grundsärskola;Vilande;2120001140;LANDSKRONA KOMMUN;Kommun;2022-11-29;Marie Olsson;2019-08-01;2021-08-01;
2025-01-20;63170746;Vuxenutbildningen Särvux;Vilande;2120000928;KLIPPANS KOMMUN;Kommun;2022-11-29;Bo Thiman;2013-10-01;2022-07-01;
2025-01-20;58862639;Central insamlingsenhet;Vilande;2120000829;KARLSKRONA KOMMUN;Kommun;2022-11-30;;2018-08-22;2022-08-15;
2025-01-20;81424988;Mariebergsskolan;Aktiv;2120001850;KARLSTADS KOMMUN;Kommun;2023-05-24;Helene Vestman;2013-10-01;;420
2025-01-20;60118391;Entréskolan Järfälla;Vilande;5568148117;AmiSgo AB;Enskild;2022-11-30;Vakant;2022-08-01;2022-08-01;
2025-01-20;93403903;Entréskolan Sollentuna;Vilande;5568148117;AmiSgo AB;Enskild;2022-11-30;Vakant;2022-08-01;2022-08-01;
2025-01-20;90711097;Jacobiskolan;Vilande;8024044888;STIFTELSEN FÖR BILDNING I SVERIGE;Enskild;2022-12-01;Hussein Ibrahim;2013-10-01;2022-06-30;
2025-01-20;92253510;Stenhammarskolan 4-6;Vilande;2120000332;FLENS KOMMUN;Kommun;2023-06-30;Tuija Zens;2018-07-01;2023-06-30;
2025-01-20;81546814;Stenhammarskolan 7-9;Vilande;2120000332;FLENS KOMMUN;Kommun;2023-06-30;Nathalie Österberg;2013-10-01;2023-06-30;
2025-01-20;93189258;Stenhammarskolan F-3;Vilande;2120000332;FLENS KOMMUN;Kommun;2023-06-30;Per-Ola Andersson;2018-07-01;2023-06-30;
2025-01-20;80621158;Råsslaskolan 1;Aktiv;2120000456;NORRKÖPINGS KOMMUN;Kommun;2023-04-19;Daniel Frölander;2013-10-01;;260
2025-01-20;22019000;Södertörns friskola;Aktiv;7696004238;SÖDERTÖRNS FRISKOLA EKONOMISK FÖRENING;Enskild;2022-12-07;Patrik Bergman;2013-10-01;;470
2025-01-20;48225182;Selja-Långlets friskola;Aktiv;7696212625;Selja-Långlets friskola ekonomiska förening;Enskild;2023-05-22;Cecilia Benjaminsson;2013-10-01;;60
2025-01-20;32071849;Europaskolan Strängnäs;Aktiv;5567478416;Europaskolan Utbildning AB;Enskild;2023-05-30;Marcus Lindvall;2013-10-01;;500
2025-01-20;77441364;Parkskolan;Aktiv;2120000993;SVALÖVS KOMMUN;Kommun;2023-05-11;Tonny Glantz;2013-10-01;;200
2025-01-20;24339301;Europaportens grundskola;Aktiv;5568350572;Europaportens Skolor AB;Enskild;2023-06-01;Matilda Ivansson;2013-10-01;;220
2025-01-20;87686617;Olympica;Aktiv;5565938700;OLYMPICA AB;Enskild;2024-05-15;Erica Drugge;2013-10-01;;260
2025-01-20;36628382;Iljansbodaskolan;Aktiv;2120000043;JÄRFÄLLA KOMMUN;Kommun;2024-06-04;Erika Lejdal;2013-10-01;;90
2025-01-20;46239244;Kolarängskolan;Aktiv;2120000043;JÄRFÄLLA KOMMUN;Kommun;2024-06-04;Erika Lejdal;2013-10-01;;420
2025-01-20;57755652;Neptuniskolan;Aktiv;2120000043;JÄRFÄLLA KOMMUN;Kommun;2023-05-22;Ann-Christin Prenke;2013-10-01;;290
2025-01-20;81021363;Herrestaskolan;Aktiv;2120000043;JÄRFÄLLA KOMMUN;Kommun;2023-12-06;Anna Thuresson;2016-01-01;;340
2025-01-20;58173761;Olovslundskolan;Aktiv;2120000043;JÄRFÄLLA KOMMUN;Kommun;2023-05-22;Andreas Carlsson;2013-10-01;;520
2025-01-20;39015433;Hörby Lärcenter, komvux;Aktiv;2120001108;HÖRBY KOMMUN;Kommun;2023-05-24;Lena Månsson;2013-10-01;;30
2025-01-20;25433795;Kiladalens norra skola;Aktiv;2120002940;NYKÖPINGS KOMMUN;Kommun;2023-04-11;Charlotta Milosavljevic Olsson;2018-08-21;;290
2025-01-20;91419745;Kiladalens södra skola;Aktiv;2120002940;NYKÖPINGS KOMMUN;Kommun;2023-04-11;Charlotta Milosavljevic Olsson;2018-08-21;;110
2025-01-20;23250615;Strandskolan;Aktiv;8260017648;JÖNKÖPINGS KRISTNA SKOLFÖRENING;Enskild;2023-05-29;Patrik Lernberg;2013-10-01;;120
2025-01-20;35366805;Stockholms Estetiska Gymnasium;Aktiv;7696029995;STOCKHOLMS ESTETISKA GYMNASIUM EK. FÖR.;Enskild;2023-06-09;Annika Hedås Falk;2013-10-01;;250
2025-01-20;92895758;Aspen Montessori;Aktiv;8635005500;ASPEN MONTESSORI;Enskild;2024-05-20;Andreas Ljungqvist;2013-10-01;;100
2025-01-20;45136198;Lonnhyttans skola;Vilande;7164532033;Granbergsdals skola, Ekonomisk förening;Enskild;2023-01-01;Cecilia Spånbo;2013-10-01;2023-01-01;
2025-01-20;53882684;Mimergården;Aktiv;2120002528;ÖSTERSUNDS KOMMUN;Kommun;2023-06-22;Emelie Fors;2013-10-01;;190
2025-01-20;41303400;Ekholmsskolan;Vilande;2120000142;STOCKHOLMS KOMMUN;Kommun;2022-09-02;Lina Harrysson;2013-10-01;2022-08-16;
2025-01-20;53651817;Älvsåkersskolan 4-6;Aktiv;2120001256;KUNGSBACKA KOMMUN;Kommun;2023-12-05;Madeleine Strasek;2022-07-01;;170
2025-01-20;24370775;Åbymoskolan 2;Aktiv;2120000456;NORRKÖPINGS KOMMUN;Kommun;2023-06-12;Oskar Abrahamsson;2013-10-01;;230
2025-01-20;62727103;Tavelbäcksskolan;Aktiv;2120002528;ÖSTERSUNDS KOMMUN;Kommun;2023-12-01;Peder Söderman;2013-10-01;;200
2025-01-20;65392939;Ängelholms gymnasieskola Ro 2;Aktiv;2120000977;ÄNGELHOLMS KOMMUN;Kommun;2024-05-21;Susanne Åkesson;2013-10-01;;550
2025-01-20;98696836;Ängelholms gymnasieskola Ro 3;Aktiv;2120000977;ÄNGELHOLMS KOMMUN;Kommun;2024-05-21;Karin Magnusson;2013-10-01;;230
2025-01-20;82160887;Ängelholms gymnasieskola Ro 4;Aktiv;2120000977;ÄNGELHOLMS KOMMUN;Kommun;2024-05-21;Linus Silow;2013-10-14;;360
2025-01-20;23175129;Ängelholms gymnasieskola Ro 5;Aktiv;2120000977;ÄNGELHOLMS KOMMUN;Kommun;2024-05-21;Therese Rosenberg;2013-10-01;;
2025-01-20;36810746;Kungsholmens grundskola 7-9;Vilande;2120000142;STOCKHOLMS KOMMUN;Kommun;2022-09-09;Guido Pillola;2022-08-18;2022-08-18;
2025-01-20;77473709;Kungsholmens grundskola F-6;Vilande;2120000142;STOCKHOLMS KOMMUN;Kommun;2022-09-09;Guido Pillola;2022-08-18;2022-08-18;
2025-01-20;62394711;Snörrumskolan;Aktiv;2120001413;DALS-EDS KOMMUN;Kommun;2023-05-23;Camilla Wester;2013-10-01;;140
2025-01-20;19024032;Kastanjeskolan;Aktiv;8465016791;FÖRENINGEN KASTANJESKOLAN;Enskild;2017-06-13;Camilla Säll;2013-10-01;;210
2025-01-20;19755937;Tingdalsskolan;Aktiv;2120000936;ÅSTORPS KOMMUN;Kommun;2023-12-18;Kerstin Andersson;2013-10-01;;270
2025-01-20;22909101;Waldorfskolan i Karlshamn;Aktiv;7164056082;DAGGKÅPAN EKONOMISK FÖRENING;Enskild;2024-05-15;Katarina Pattberg Miller;2013-10-01;;90
2025-01-20;14393286;Särskolan Öjersjö Storegård;Vilande;2120001272;PARTILLE KOMMUN;Kommun;2022-09-14;Bitte Ziethén;2013-10-01;2022-06-30;
2025-01-20;87516620;Domarhagsskolan;Aktiv;2120002262;AVESTA KOMMUN;Kommun;2024-11-04;Monica Anderstedt;2013-10-01;;310
2025-01-20;30520409;Fridhemsskolans gymnasieenhet;Aktiv;2120002080;VÄSTERÅS KOMMUN;Kommun;2024-06-07;Agnetha Carlsson;2023-01-01;;
2025-01-20;67479283;Stjerneskolan, vux;Aktiv;2120001777;TORSBY KOMMUN;Kommun;2024-11-04;Marcus Lech;2013-10-01;;
2025-01-20;92204274;NTI Gymnasiet Gärdet;Vilande;5565970471;NTI Gymnasiet Ellips AB;Enskild;2023-01-04;Erik Thonfors;2017-08-14;2022-08-01;
2025-01-20;33483276;Fenix Vux 2;Aktiv;2120000522;VAGGERYDS KOMMUN;Kommun;2023-06-10;Peter Hansson;2021-12-01;;
2025-01-20;38030036;Bondstorps skola;Aktiv;2120000522;VAGGERYDS KOMMUN;Kommun;2023-05-30;Erik Friberg;2013-10-01;;10
2025-01-20;82420962;Byarums skola;Aktiv;2120000522;VAGGERYDS KOMMUN;Kommun;2023-05-30;Erik Friberg;2013-10-01;;40
2025-01-20;95093042;Hoks skola;Aktiv;2120000522;VAGGERYDS KOMMUN;Kommun;2024-05-21;Erik Friberg;2013-10-01;;100
2025-01-20;84329061;Nils Ericsonsgymnasiet 1;Aktiv;2220002998;Kunskapsförbundet Väst;Kommun;2024-05-27;Johanna Lunneryd;2014-09-05;;790
2025-01-20;84225089;Nils Ericsonsgymnasiet 2;Aktiv;2220002998;Kunskapsförbundet Väst;Kommun;2024-05-27;Johanna Lunneryd;2014-09-05;;110
2025-01-20;28784668;Grundsärskola SO2;Vilande;2120000977;ÄNGELHOLMS KOMMUN;Kommun;2023-01-05;Lars Nilsson;2022-08-17;2022-08-17;
2025-01-20;75746018;Mikaeliskolan;Aktiv;8190010572;STIFTELSEN MIKAELISKOLAN I NYKÖPING;Enskild;2023-06-12;Jonas Sörensen;2013-10-01;;180
2025-01-20;56187883;Skärgårdsgymnasiet;Aktiv;5567284822;Au Claves AB;Enskild;2024-11-20;Fredrik Eriksson;2013-10-01;;420
2025-01-20;36409468;Grenadjärskolan;Aktiv;8750024062;STIFTELSEN GRENADJÄRSKOLAN;Enskild;2023-04-03;Yvonne Wirhall;2013-10-01;;200
2025-01-20;41584790;Järna friskola;Aktiv;5591658975;Montessori Förskolor och Skolor i Sverige AB;Enskild;2023-05-29;Charlotte Dackebro;2013-10-01;;250
2025-01-20;45133950;Freinetskolan Mimer;Aktiv;7696021117;Freinetskolan Mimer ekonomisk förening;Enskild;2023-06-20;Anneli Vossman Strömberg;2013-10-01;;150
2025-01-20;50194424;Pauliskolan;Aktiv;8430021918;STIFTELSEN PAULISKOLAN;Enskild;2024-07-01;Thomas Wallin;2013-10-01;;100
2025-01-20;54601339;Tranängskolan F-6;Aktiv;2120001462;TRANEMO KOMMUN;Kommun;2023-12-18;Anita Stomberg;2013-10-01;;370
2025-01-20;56540171;Rinnebäcksskolan;Aktiv;2120001058;KÄVLINGE KOMMUN;Kommun;2023-04-11;Peter Westergård;2013-10-01;;440
2025-01-20;57106833;Vendestigens skola;Aktiv;5565422762;Vendestigens Förskola och Skola AB;Enskild;2024-03-06;Eva Ekendahl;2013-10-01;;60
2025-01-20;65494903;Friskolan Mosaik;Aktiv;7696149751;Friskolan Mosaik i Falun ekonomisk förening;Enskild;2024-07-10;Carolina Sundin;2013-10-01;;210
2025-01-20;69909271;Resarö skola;Aktiv;2120002908;VAXHOLMS KOMMUN;Kommun;2023-06-29;Christina Persson;2013-10-01;;340
2025-01-20;71629249;G-klavens fristående skola;Aktiv;5566033592;G-KLAVEN AB;Enskild;2023-08-18;Eva Cederholm;2013-10-01;;120
2025-01-20;84580153;I Ur och Skur Skabersjöskolan;Aktiv;7696021513;SKABERSJÖBYGDENS SKOLA EK. FÖR.;Enskild;2023-03-27;Mathilda Lindström;2013-10-01;;50
2025-01-20;93919365;Musikugglan;Aktiv;5564127099;TANT GRÖN AB;Enskild;2024-06-18;Andreas Liljekvist;2013-10-01;;460
2025-01-20;74696775;Brogårdaskolan;Aktiv;2120001041;BJUVS KOMMUN;Kommun;2023-01-19;Monika Kjell;2013-10-01;;340
2025-01-20;50013979;Tingbergsskolan B;Aktiv;2120001256;KUNGSBACKA KOMMUN;Kommun;2023-12-05;Petra Aadland;2013-10-01;;160
2025-01-20;69028103;Tingbergsskolan A-C;Aktiv;2120001256;KUNGSBACKA KOMMUN;Kommun;2023-12-05;Anna-Karin Källén;2013-10-01;;140
2025-01-20;71262305;Vasagymnasiet;Aktiv;2120002122;ARBOGA KOMMUN;Kommun;2023-06-19;Per Gamalielsson;2013-10-01;;320
2025-01-20;10982752;Centrumskolan i Hbg;Aktiv;5564575628;CENTRUMSKOLAN I HELSINGBORG AKTIEBOLAG;Enskild;2023-05-22;Mats Carlsson;2013-10-01;;70
2025-01-20;35718563;Fyren Ekalmens skola;Aktiv;5568568629;Fyren EkAlmen AB;Enskild;2023-06-16;Marie Einarsson;2013-10-01;;250
2025-01-20;54367867;Prolympia Göteborg;Aktiv;5567295851;Gothenburg Association AB;Enskild;2023-05-08;Elizabeth Johansson;2013-10-01;;330
2025-01-20;16891307;Jättestenskolan;Aktiv;2120001827;GRUMS KOMMUN;Kommun;2024-06-12;Lennart Nilsson;2013-10-01;;450
2025-01-20;45101776;Gymnasieutbildningen i Höör;Aktiv;2120001116;HÖÖRS KOMMUN;Kommun;2024-05-16;Catharina Pålsson;2013-10-01;;20
2025-01-20;91557814;Komvux i Höör;Aktiv;2120001116;HÖÖRS KOMMUN;Kommun;2024-05-16;Catharina Pålsson;2013-10-01;;
2025-01-20;55731282;Komvux, särvux;Aktiv;2120001116;HÖÖRS KOMMUN;Kommun;2023-03-02;Catharina Pålsson;2013-10-01;;
2025-01-20;28967085;Ingridskolan, gymnasiet;Aktiv;5566222013;INGRIDSKOLAN AB;Enskild;2023-06-26;Ingrid Svedin;2013-10-01;;50
2025-01-20;53259263;Ingridskolan, grundskola;Aktiv;5566222013;INGRIDSKOLAN AB;Enskild;2023-06-26;Ingrid Svedin;2013-10-01;;80
2025-01-20;10617819;Manhemsskolan;Aktiv;2120002692;KALIX KOMMUN;Kommun;2024-01-19;Ingegerd Dahlgren;2013-10-01;;430
2025-01-20;18091973;Furuhedsskolan 2;Aktiv;2120002692;KALIX KOMMUN;Kommun;2024-04-17;Mona Sundqvist;2013-10-01;;280
2025-01-20;99475738;Odensvi skola;Aktiv;2120002114;KÖPINGS KOMMUN;Kommun;2023-05-22;Gun-Marie Persson;2013-10-01;;50
2025-01-20;62694008;Högelidsskolan 7-9;Aktiv;2120001686;MARIESTADS KOMMUN;Kommun;2023-12-01;Synneve Åberg;2013-10-01;;280
2025-01-20;20061769;Sjömansskolan;Aktiv;5565662409;SJÖMANSSKOLAN STOCKHOLM AB;Enskild;2024-08-23;Johan Östergren;2013-10-01;;50
2025-01-20;68814096;Kyrkskolan;Aktiv;2120002205;SMEDJEBACKENS KOMMUN;Kommun;2023-08-30;Fredrik Hedlund;2013-10-01;;160
2025-01-20;87981276;Vad skola;Aktiv;2120002205;SMEDJEBACKENS KOMMUN;Kommun;2023-08-30;Josephine Molin;2013-10-01;;70
2025-01-20;46191968;Hjärupslundsskolan;Aktiv;2120001017;STAFFANSTORPS KOMMUN;Kommun;2023-12-05;Jonas Palmqvist Svensson;2013-10-01;;370
2025-01-20;48847282;Ingrid Segerstedts gymnasium;Aktiv;8572088824;STIFTELSEN INGRID SEGERSTEDTS GYMNASIUM;Enskild;2023-06-07;Carl Nilsson;2013-10-01;;390
2025-01-20;89630851;Vackstanäsgymnasiet;Aktiv;8156000690;STIFTELSEN OTTO OCH SIGNE BROMS HEMSKOLA Å VACKSTANÄS;Enskild;2023-12-01;Stefan Ruocco;2013-10-01;;250
2025-01-20;91400222;Vasaskolan;Aktiv;2120000365;STRÄNGNÄS KOMMUN;Kommun;2024-09-30;Susanne Eriksson;2013-10-01;;200
2025-01-20;82584417;Fjällsjöskolan;Aktiv;2120002486;STRÖMSUNDS KOMMUN;Kommun;2023-03-29;Susanne Sjödin;2013-10-01;;100
2025-01-20;98006060;Serresjöskolan;Aktiv;2120001199;TRELLEBORGS KOMMUN;Kommun;2023-05-23;Anette Öhman;2013-10-01;;300
2025-01-20;25356960;Viskastrandsgymnasiet A;Aktiv;2120001561;BORÅS KOMMUN;Kommun;2023-05-22;Anna-Lena Jacobsson;2013-10-01;;240
2025-01-20;35670336;Sannarpsgymnasiet 1;Aktiv;2120001215;HALMSTADS KOMMUN;Kommun;2024-06-04;Hans-Ove Sandberg;2013-10-01;;120
2025-01-20;10609045;Lagmansskolan Beta MH;Aktiv;2120000480;MJÖLBY KOMMUN;Kommun;2023-12-15;Joakim Stigenhed;2013-10-01;;320
2025-01-20;68285560;YBC, Young Business Creatives;Aktiv;2120000167;NACKA KOMMUN;Kommun;2024-06-12;Oskar Sjögren;2013-10-01;;720
2025-01-20;45945515;Emmaskolan F-6;Aktiv;2120002726;GÄLLIVARE KOMMUN;Kommun;2023-05-25;Sara Carlsson;2013-10-01;;40
2025-01-20;13644940;Komvux, SFI;Aktiv;2120002114;KÖPINGS KOMMUN;Kommun;2023-05-22;Anna-Klara Sjölund;2013-10-01;;
2025-01-20;14379396;Djupadalsskolan;Aktiv;2120001124;MALMÖ KOMMUN;Kommun;2023-01-31;Christina Simfelt;2013-10-01;;490
2025-01-20;16037900;Högaholmsskolan;Aktiv;2120001124;MALMÖ KOMMUN;Kommun;2024-06-11;Anders Lassnack;2013-10-01;;300
2025-01-20;98745015;Kroksbäcksskolan;Aktiv;2120001124;MALMÖ KOMMUN;Kommun;2023-01-31;Per Andersson;2013-10-01;;480
2025-01-20;29300350;Mellanhedsskolan;Aktiv;2120001124;MALMÖ KOMMUN;Kommun;2024-05-31;Slavica Drazic;2013-10-01;;760
2025-01-20;15068136;Sundsbroskolan;Aktiv;2120001124;MALMÖ KOMMUN;Kommun;2023-01-31;Tomislav Vivlund;2014-02-04;;580
2025-01-20;16762245;Edessaskolan;Aktiv;8024242391;STIFTELSEN BAR HEBREUS;Enskild;2023-08-29;Robert Abraham;2013-10-01;;150
2025-01-20;10155751;Ängarydsskolan;Aktiv;2120000597;TRANÅS KOMMUN;Kommun;2023-06-09;Fredrik Brolin;2013-10-01;;320
2025-01-20;65431245;Mimers Brunn Vittjärv;Aktiv;5567226062;Mimers Vittjärv AB;Enskild;2023-03-28;Tina Mörtberger;2013-10-01;;70
2025-01-20;60088179;Teknikum 1;Aktiv;2120000662;VÄXJÖ KOMMUN;Kommun;2024-08-22;Anna Beurling Lantz;2013-10-01;;230
2025-01-20;28391147;Teknikum 2;Aktiv;2120000662;VÄXJÖ KOMMUN;Kommun;2024-08-22;Magnus Nilsson;2013-10-01;;140
2025-01-20;91748148;Hälsingegymnasiet;Aktiv;5567600886;Hälsingegymnasiet AB;Enskild;2023-06-01;Roger Wallgren;2013-10-01;;200
2025-01-20;83896681;Centuriaskolan;Aktiv;5568373228;021 Skol AB;Enskild;2024-06-27;Nina Ericsson;2013-10-01;;130
2025-01-20;48487229;Sanda skola;Aktiv;2120000803;REGION GOTLAND;Kommun;2024-01-04;Jessica Nilsson;2013-10-01;;50
2025-01-20;52791160;Tjelvarskolan;Aktiv;2120000803;REGION GOTLAND;Kommun;2024-06-14;Ingemar Andersson;2013-10-01;;120
2025-01-20;18828813;Borns Friskola;Aktiv;7164531886;FÖRÄLDRAKOOPERATIVET BORNS SKOLA EK.FÖRENING;Enskild;2024-05-15;Daniel Seilitz;2013-10-01;;70
2025-01-20;29524966;Freinetskolan Kastanjen;Aktiv;7696000590;FREINETSKOLAN KASTANJEN EKONOMISK FÖRENING;Enskild;2017-06-12;Maria Nordheden Gard;2013-10-01;;180
2025-01-20;81683738;Snapphaneskolan;Aktiv;2120000860;ÖSTRA GÖINGE KOMMUN;Kommun;2023-11-17;Jennie Mårtenssoon;2013-10-01;;420
2025-01-20;34882305;Tågarpskolan;Aktiv;2120001025;BURLÖVS KOMMUN;Kommun;2023-03-30;Inger Ljungbro;2013-10-01;;290
2025-01-20;76938537;Montessoriskolan Casa;Aktiv;8520004261;STIFTELSEN CASA DEI BAMBINI;Enskild;2023-05-22;Anders Edwall;2013-10-01;;220
2025-01-20;13390547;Hannaskolan;Aktiv;8750023650;STIFTELSEN HANNASKOLAN;Enskild;2023-06-20;Mia Vallin;2013-10-01;;280
2025-01-20;37995642;Norrevångsskolan 7-9;Aktiv;2120001173;ESLÖVS KOMMUN;Kommun;2024-05-22;Susanne Svensson;2013-10-01;;360
2025-01-20;94353434;Bräckegymnasiet 2;Aktiv;2120001355;GÖTEBORGS KOMMUN;Kommun;2023-06-05;Benny Olausson;2013-10-01;;190
2025-01-20;90099336;Katrinelundsgymnasiet 2;Aktiv;2120001355;GÖTEBORGS KOMMUN;Kommun;2023-06-09;Mats Winqvist;2013-10-01;;10
2025-01-20;88894245;Dahlstiernska gymnasiet;Aktiv;2120001488;MELLERUDS KOMMUN;Kommun;2023-06-08;Matti Bertilsson;2013-10-01;;90
2025-01-20;49291677;Åsebro skola;Aktiv;2120001488;MELLERUDS KOMMUN;Kommun;2023-06-08;Lena Andersson;2013-10-01;;80
2025-01-20;37842901;Åsen skola;Aktiv;2120001488;MELLERUDS KOMMUN;Kommun;2024-05-20;Lena Andersson;2013-10-01;;40
2025-01-20;72266906;Rekarnegymnasiet 1;Aktiv;2120000357;ESKILSTUNA KOMMUN;Kommun;2023-06-05;Jens Axdorph;2013-10-01;;610
2025-01-20;63826797;Internationella Engelska Skolan Lund;Aktiv;5564624368;Internationella Engelska Skolan i Sverige AB;Enskild;2023-04-13;Per Ola Olsson;2013-10-01;;720
2025-01-20;51207895;Centralskolan;Aktiv;2120000415;ÅTVIDABERGS KOMMUN;Kommun;2023-05-29;Maria Gullquist;2013-10-01;;280
2025-01-20;45111086;Västerås Idrottsgymnasium;Aktiv;5567802144;Västerås Idrottsgymnasium AB;Enskild;2024-06-05;Oskar Walther;2013-10-01;;80
2025-01-20;21312503;Elektrikergymnasiet;Aktiv;5566814801;Stockholms El-utbildning AB;Enskild;2023-06-12;Friman Ulf;2013-10-01;;170
2025-01-20;74919147;Fridagymnasiet, Vänersborg;Aktiv;5564515988;Fridaskolorna AB;Enskild;2023-03-31;Magnus Wallin;2013-10-01;;230
2025-01-20;89837629;GTI:s gymnasieskola;Aktiv;5562358993;GÖTEBORGS TEKNISKA INSTITUT AKTIEBOLAG;Enskild;2023-05-31;Eleonora Eriksson;2013-10-01;;350
2025-01-20;15416514;Aspenskolan;Aktiv;2120000266;TIERPS KOMMUN;Kommun;2024-11-04;Karin Herbertsson;2013-10-01;;470
2025-01-20;35386625;Kyrkskolan;Aktiv;2120000266;TIERPS KOMMUN;Kommun;2024-04-11;Karin Herbertsson;2013-10-01;;70
2025-01-20;41675828;Ramlösa friskola;Aktiv;5564629722;RAMLÖSA FRISKOLA AB;Enskild;2023-05-28;Lisa Meviken;2013-10-01;;130
2025-01-20;10402832;Kvidinge skola;Aktiv;2120000936;ÅSTORPS KOMMUN;Kommun;2023-01-16;Kerstin Andersson;2013-10-01;;180
2025-01-20;30762346;Nordiska Musikgymnasiet;Aktiv;5565851507;NORDISKA MUSIKGYMNASIET AB;Enskild;2024-11-21;Monika Kowalska;2013-10-01;;50
2025-01-20;79829846;REFIS Rörentr. friskola Sthlm;Aktiv;5566285994;REFIS Rör- och Elentreprenörernas friskola i Stockholm AB;Enskild;2024-05-17;Claudia Marcks;2013-10-01;;230
2025-01-20;50769996;Lärvux;Aktiv;2120002114;KÖPINGS KOMMUN;Kommun;2023-05-22;Anna-Klara Sjölund;2013-10-01;;
2025-01-20;42434583;Brunns skola;Aktiv;2120000035;VÄRMDÖ KOMMUN;Kommun;2024-08-22;Ulrika Görtz Wetterlund;2013-10-01;;500
2025-01-20;36066067;Musikskolan Lilla Akademien;Aktiv;5565510756;MUSIKSKOLAN LILLA AKADEMIEN AB;Enskild;2024-03-18;Emelia Gardemar;2013-10-01;;250
2025-01-20;83374651;Lilla Akademiens Musikgymn.;Aktiv;5565510756;MUSIKSKOLAN LILLA AKADEMIEN AB;Enskild;2024-03-18;Emelia Gardemar;2013-10-01;;140
2025-01-20;89732023;Vikarbyns skola;Aktiv;2120002171;RÄTTVIKS KOMMUN;Kommun;2023-05-26;Megh Tomt Andersen;2013-10-01;;130
2025-01-20;23181842;Sätra skola;Aktiv;2120002171;RÄTTVIKS KOMMUN;Kommun;2023-05-26;Megh Tomt Andersen;2013-10-01;;10
2025-01-20;56679384;Bäckängsgymnasiet C;Aktiv;2120001561;BORÅS KOMMUN;Kommun;2024-05-08;Ann-Marie Ahlin;2013-10-01;;270
2025-01-20;10360193;Profilskolan;Aktiv;5569247264;Profilskolan AB;Enskild;2020-06-01;Mikael Hakola;2013-10-01;;80
2025-01-20;40577779;Almåsskolan;Aktiv;2120001363;MÖLNDALS KOMMUN;Kommun;2024-05-03;Linda Svensson;2013-10-01;;440
2025-01-20;27489448;Fridaskolan, Uddevalla;Aktiv;5564515988;Fridaskolorna AB;Enskild;2023-03-31;Jerker Sagfors;2013-10-01;;530
2025-01-20;76033436;Barkarbyskolan;Aktiv;2120000043;JÄRFÄLLA KOMMUN;Kommun;2023-05-22;Rickard Ernfors;2013-10-01;;340
