Kommun,Tjänstemän på kommunhuset,Undersköterskor,Förskolepersonal,Läns-/kommunkod,Länstillhörighet,Namn,E-post,Telefon,Webbadress,Postaddress 1,Postnr,Ort
halmstads kommun,Ja,Ja,Ja,1380,13,halmstads kommun,kommunstyrelsen@halmstad.se,035-137000,http://www.halmstad.se,Box 153,30105,HALMSTAD
hammarö kommun,Ej svar,Ej svar,Ej svar,1761,17,hammarö kommun,kommun@hammaro.se,054-51 50 00,http://www.hammaro.se,Box 26,66321,SKOGHALL
haninge kommun,Ja,Ja,Ja,136,1,haninge kommun,haningekommun@haninge.se,08-6067000,http://www.haninge.se,,13681,HANINGE
haparanda stad,Ej svar,Ej svar,Ej svar,2583,25,haparanda stad,kommunen@haparanda.se,0922-260 00,http://www.haparanda.se,,95385,HAPARANDA
heby kommun,Vet inte,Vet inte,Vet inte,331,3,heby kommun,information@heby.se,0224-36000,http://www.heby.se,,74488,HEBY
hedemora kommun,Ja,Ja,Ja,2083,20,hedemora kommun,kommun@hedemora.se,0225-34000,http://www.hedemora.se,Box 201,77628,HEDEMORA
helsingborgs stad,Ja,Ja,Ja,1283,12,helsingborgs stad,kontaktcenter@helsingborg.se,042-10 50 00,http://www.helsingborg.se,,25189,HELSINGBORG
herrljunga kommun,Ej svar,Ej svar,Ej svar,1466,14,herrljunga kommun,herrljunga.kommun@herrljunga.se,0513-170 00,http://www.herrljunga.se,Box 201,52423,HERRLJUNGA
hjo kommun,Ej svar,Ej svar,Ej svar,1497,14,hjo kommun,kommunen@hjo.se,0503-350 00,http://www.hjo.se,,54481,HJO
hofors kommun,Ja,Ja,Ja,2104,21,hofors kommun,hofors.kommun@hofors.se,0290-29000,http://www.hofors.se,,81381,HOFORS
huddinge kommun,Ej svar,Ej svar,Ej svar,126,1,huddinge kommun,servicecenter@huddinge.se,08-535 300 00,http://www.huddinge.se,,14185,HUDDINGE
hudiksvalls kommun,Nej,Nej,Nej,2184,21,hudiksvalls kommun,kommun@hudiksvall.se,0650-19000,http://www.hudiksvall.se,,82480,HUDIKSVALL
hultsfreds kommun,Nej,Nej,Nej,860,8,hultsfreds kommun,kommunen@hultsfred.se,0495-240000,http://www.hultsfred.se,Box 500,57726,HULTSFRED
hylte kommun,Ej svar,Ej svar,Ej svar,1315,13,hylte kommun,kommunen@hylte.se,0345-18000,http://www.hylte.se,,31480,HYLTEBRUK
hällefors kommun,Ja,Ja,Ja,1863,18,hällefors kommun,kommun@hellefors.se,0591-64100,http://www.hellefors.se,,71283,HÄLLEFORS
härjedalens kommun,Nej,Nej,Nej,2361,23,härjedalens kommun,kommun@herjedalen.se,0680-16100,http://www.herjedalen.se,Medborgarhuset,84280,SVEG
härnösands kommun,Ja,Ja,Ja,2280,22,härnösands kommun,kommun@harnosand.se,0611-348000,http://www.harnosand.se,,87180,HÄRNÖSAND
härryda kommun,Nej,Nej,Nej,1401,14,härryda kommun,kommun@harryda.se,031-7246100,http://www.harryda.se,,43580,MÖLNLYCKE
hässleholms kommun,Ja,Ja,Ja,1293,12,hässleholms kommun,kommunen@hassleholm.se,0451-267000,http://www.hassleholm.se,Stadshuset,28180,HÄSSLEHOLM
håbo kommun,Ja,Ja,Ja,305,3,håbo kommun,kommun@habo.se,0171-525 00,http://www.habo.se,,74680,BÅLSTA
höganäs kommun,Ja,Ja,Ja,1284,12,höganäs kommun,kommunen@hoganas.se,042-337100,http://www.hoganas.se,Stadshuset,26382,HÖGANÄS
högsby kommun,Nej,Nej,Nej,821,8,högsby kommun,kommun@hogsby.se,0491-290 00,http://www.hogsby.se,,57980,HÖGSBY
hörby kommun,Ja,Vet inte,Vet inte,1266,12,hörby kommun,kommunen@horby.se,0415-37 80 00,http://www.horby.se,,24280,HÖRBY
höörs kommun,Ja,Ja,Ja,1267,12,höörs kommun,kommun@hoor.se,0413-28000,http://www.hoor.se,Box 53,24321,HÖÖR
jokkmokks kommun,Ja,Ja,Ja,2510,25,jokkmokks kommun,kommun@jokkmokk.se,0971-17000,http://www.jokkmokk.se,,96285,JOKKMOKK
järfälla kommun,Ja,Vet inte,Vet inte,123,1,järfälla kommun,kontakt@jarfalla.se,08-580 285 00,http://www.jarfalla.se,,17780,JÄRFÄLLA
jönköpings kommun,Nej,Nej,Nej,680,6,jönköpings kommun,kommunstyrelse@jonkoping.se,036-10 50 00,http://www.jonkoping.se,,55189,JÖNKÖPING
kalix kommun,Nej,Nej,Nej,2514,25,kalix kommun,kommun@kalix.se,0923-65000,http://www.kalix.se,,95281,KALIX
kalmar kommun,Ja,Ja,Ja,880,8,kalmar kommun,kommun@kalmar.se,0480-450000,http://www.kalmar.se,Box 611,39126,KALMAR
karlsborgs kommun,Ja,Ja,Ja,1446,14,karlsborgs kommun,kommun@karlsborg.se,0505-17000,http://www.karlsborg.se,,54682,KARLSBORG
karlshamns kommun,Nej,Nej,Nej,1082,10,karlshamns kommun,info@karlshamn.se,0454-81000,http://www.karlshamn.se,,37481,KARLSHAMN
karlskoga kommun,Nej,Nej,Nej,1883,18,karlskoga kommun,info@karlskoga.se,0586-610 00,http://www.karlskoga.se,,69183,KARLSKOGA
karlskrona kommun,Ja,Ja,Ja,1080,10,karlskrona kommun,karlskrona.kommun@karlskrona.se,0455-303000,http://www.karlskrona.se,,37183,KARLSKRONA
karlstads kommun,Ja,Ja,Ja,1780,17,karlstads kommun,karlstadskommun@karlstad.se,054-5400000,http://www.karlstad.se,,65184,KARLSTAD
katrineholms kommun,Ja,Ja,Ja,483,4,katrineholms kommun,kommunen@katrineholm.se,0150-570 00,http://www.katrineholm.se,,64180,KATRINEHOLM
kils kommun,Ja,Ja,Ja,1715,17,kils kommun,kommun@kil.se,0554-19100,http://www.kil.se,Box 88,66523,KIL
kinda kommun,Ja,Ja,Ja,513,5,kinda kommun,kinda@kinda.se,0494-19000,http://www.kinda.se,Box 1,59040,KISA
kiruna kommun,Ej svar,Ej svar,Ej svar,2584,25,kiruna kommun,kommun@kiruna.se,0980-700 00,http://www.kiruna.se,,98185,KIRUNA
klippans kommun,Ja,Ja,Ja,1276,12,klippans kommun,kommun@klippan.se,0435-28000,http://www.klippan.se,,26480,KLIPPAN
knivsta kommun,Ja,Ja,Ja,330,3,knivsta kommun,knivsta@knivsta.se,018-347000,http://www.knivsta.se,,74175,KNIVSTA
kramfors kommun,Ja,Ja,Ja,2282,22,kramfors kommun,kommun@kramfors.se,0612-800 00,http://www.kramfors.se,,87280,KRAMFORS
kristianstads kommun,Vet inte,Vet inte,Vet inte,1290,12,kristianstads kommun,kommun@kristianstad.se,044-13 50 00,http://www.kristianstad.se,,29180,KRISTIANSTAD
kristinehamns kommun,Ja,Ja,Ja,1781,17,kristinehamns kommun,kommunen@kristinehamn.se,0550-88000,http://www.kristinehamn.se,,68184,KRISTINEHAMN
krokoms kommun,Nej,Nej,Nej,2309,23,krokoms kommun,krokoms.kommun@krokom.se,0640-16100,http://www.krokom.se,,83580,KROKOM
kumla kommun,Nej,Nej,Nej,1881,18,kumla kommun,kommun@kumla.se,019-58 80 00,http://www.kumla.se,,69280,KUMLA
kungsbacka kommun,Ja,Ja,Ja,1384,13,kungsbacka kommun,kommun@kungsbacka.se,0300-834000,http://www.kungsbacka.se,Stadshuset,43481,KUNGSBACKA
kungsörs kommun,Ja,Ja,Ja,1960,19,kungsörs kommun,info@kungsor.se,0227-600000,http://www.kungsor.se,,73685,KUNGSÖR
kungälvs kommun,Ja,Ja,Ja,1482,14,kungälvs kommun,kommun@kungalv.se,0303-23 80 00,http://www.kungalv.se,,44281,KUNGÄLV
kävlinge kommun,Ja,Ja,Ja,1261,12,kävlinge kommun,kommunen@kavlinge.se,046-73 90 00,http://www.kavlinge.se,,24480,KÄVLINGE
köpings kommun,Ja,Ja,Ja,1983,19,köpings kommun,kopings.kommun@koping.se,0221-25000,http://www.koping.se,,73185,KÖPING
laholms kommun,Ja,Ja,Ja,1381,13,laholms kommun,kommun@laholm.se,0430-150 00,http://www.laholm.se,,31280,LAHOLM
landskrona stad,Ja,Ja,Ja,1282,12,landskrona stad,kommun@landskrona.se,0418-470000,http://www.landskrona.se,Stadshuset,26180,LANDSKRONA
laxå kommun,Ja,Ja,Ja,1860,18,laxå kommun,kommun@laxa.se,0584-473100,http://www.laxa.se,,69580,LAXÅ
lekebergs kommun,Ja,Ja,Ja,1814,18,lekebergs kommun,kontaktcenter@lekeberg.se,0585-487 00,http://www.lekeberg.se,,71681,FJUGESTA
leksands kommun,Ja,Ja,Ja,2029,20,leksands kommun,kommun@leksand.se,0247-80000,http://www.leksand.se,,79380,LEKSAND
lerums kommun,Ej svar,Ej svar,Ej svar,1441,14,lerums kommun,kommun@lerum.se,0302-52 10 00,http://www.lerum.se,,44380,LERUM
lessebo kommun,Ja,Ja,Ja,761,7,lessebo kommun,info@lessebo.se,0478-125 00,http://www.lessebo.se,Box 13,36050,LESSEBO
lidingö stad,Ej svar,Ej svar,Ej svar,186,1,lidingö stad,lidingo.stad@lidingo.se,08-731 30 00,http://www.lidingo.se,,18182,LIDINGÖ
lidköpings kommun,Nej,Nej,Nej,1494,14,lidköpings kommun,kommun@lidkoping.se,0510-770000,http://www.lidkoping.se,,53188,LIDKÖPING
lilla edets kommun,Ja,Ja,Ja,1462,14,lilla edets kommun,kommunen@lillaedet.se,0520-659500,http://www.lillaedet.se,,46380,LILLA EDET
lindesbergs kommun,Nej,Nej,Nej,1885,18,lindesbergs kommun,kommun@lindesberg.se,0581-81000,http://www.lindesberg.se,,71180,LINDESBERG
linköpings kommun,Ja,Ja,Ja,580,5,linköpings kommun,kontakt@linkoping.se,013-20 60 00,http://www.linkoping.se,,58181,LINKÖPING
ljungby kommun,Ja,Ja,Ja,781,7,ljungby kommun,info@ljungby.se,0372-78 90 00,http://www.ljungby.se,,34183,LJUNGBY
ljusdals kommun,Vet inte,Vet inte,Vet inte,2161,21,ljusdals kommun,kommun@ljusdal.se,0651-18000,http://www.ljusdal.se,,82780,LJUSDAL
ljusnarsbergs kommun,Nej,Nej,Nej,1864,18,ljusnarsbergs kommun,kommun@ljusnarsberg.se,0580-805 00,http://www.ljusnarsberg.se,,71480,KOPPARBERG
lomma kommun,Ja,Ja,Ja,1262,12,lomma kommun,info@lomma.se,040-641 10 00,http://www.lomma.se,,23481,LOMMA
ludvika kommun,Ja,Ja,Ja,2085,20,ludvika kommun,info@ludvika.se,0240-86000,http://www.ludvika.se,,77182,LUDVIKA
luleå kommun,Ja,Ja,Ja,2580,25,luleå kommun,lulea.kommun@lulea.se,0920-45 30 00,http://www.lulea.se,,97185,LULEÅ
lunds kommun,Ej svar,Ej svar,Ej svar,1281,12,lunds kommun,lunds.kommun@lund.se,046-355000,http://www.lund.se,Box 41,22100,LUND
lycksele kommun,Nej,Nej,Nej,2481,24,lycksele kommun,kommun@lycksele.se,0950-16600,http://www.lycksele.se,,92181,LYCKSELE
lysekils kommun,Ja,Ja,Ja,1484,14,lysekils kommun,registrator@lysekil.se,0523-61 30 00,http://www.lysekil.se,,45380,LYSEKIL
malmö stad,Ja,Vet inte,Vet inte,1280,12,malmö stad,kommunstyrelsen@malmo.se,040-341000,http://www.malmo.se,,20580,MALMÖ
malung-sälens kommun,Ja,Ja,Ja,2023,20,malung-sälens kommun,kommun@malung-salen.se,0280-18100,http://www.malung-salen.se,Box 14,78221,MALUNG
malå kommun,Ej svar,Ej svar,Ej svar,2418,24,malå kommun,kommunstyrelsen@mala.se,0953-140 00,http://www.mala.se,,93070,MALÅ
mariestads kommun,Ej svar,Ej svar,Ej svar,1493,14,mariestads kommun,info@mariestad.se,0501-755000,http://www.mariestad.se,,54286,MARIESTAD
markaryds kommun,Ja,Ja,Ja,767,7,markaryds kommun,ks@markaryd.se,0433-72000,http://www.markaryd.se,Box 74,28522,MARKARYD
marks kommun,Ej svar,Ej svar,Ej svar,1463,14,marks kommun,ks@mark.se,0320-217000,http://www.mark.se,,51180,KINNA
melleruds kommun,Nej,Nej,Nej,1461,14,melleruds kommun,kommunen@mellerud.se,0530-18000,http://www.mellerud.se,,46480,MELLERUD
mjölby kommun,Nej,Nej,Vet inte,586,5,mjölby kommun,mjolbykommun@mjolby.se,0142-850 00,http://www.mjolby.se,,59580,MJÖLBY
mora kommun,Nej,Vet inte,Vet inte,2062,20,mora kommun,mora.kommun@mora.se,0250-26000,http://www.mora.se,,79280,MORA
motala kommun,Nej,Ja,Ja,583,5,motala kommun,motala.kommun@motala.se,0141-22 50 00,http://www.motala.se/kommun,,59186,MOTALA
mullsjö kommun,Ja,Ja,Ja,642,6,mullsjö kommun,kommun@mullsjo.se,0392-140 00,http://www.mullsjo.se,Box 47,56521,MULLSJÖ
munkedals kommun,Ej svar,Ej svar,Ej svar,1430,14,munkedals kommun,munkedal.kommun@munkedal.se,0524-18000,http://www.munkedal.se,,45580,MUNKEDAL
munkfors kommun,Ja,Ja,Ja,1762,17,munkfors kommun,kommun@munkfors.se,0563-54 10 00,http://www.munkfors.se,Box 13,68421,MUNKFORS
mölndals stad,Ja,Ja,Ja,1481,14,mölndals stad,kontakt@molndal.se,031-315 10 00,http://www.molndal.se,,43182,MÖLNDAL
mönsterås kommun,Nej,Nej,Nej,861,8,mönsterås kommun,kommun@monsteras.se,0499-17000,http://www.monsteras.se,Box 54,38322,MÖNSTERÅS
mörbylånga kommun,Ja,Vet inte,Ja,840,8,mörbylånga kommun,kommun@morbylanga.se,0485-47000,http://www.morbylanga.se,,38680,MÖRBYLÅNGA
nacka kommun,Ja,Ja,Ja,182,1,nacka kommun,registrator@nacka.se,08-718 80 00,http://www.nacka.se,,13181,NACKA
nora kommun,Ja,Ja,Ja,1884,18,nora kommun,nora.kommun@nora.se,0587-81000,http://www.nora.se,Tingshuset,71380,NORA
norbergs kommun,Ja,Ja,Ja,1962,19,norbergs kommun,info@norberg.se,0223-290 00,http://www.norberg.se,Box 25,73821,NORBERG
nordanstigs kommun,Ja,Ja,Ja,2132,21,nordanstigs kommun,kommun@nordanstig.se,0652-360 00,http://www.nordanstig.se,Box 56,82921,BERGSJÖ
nordmalings kommun,Nej,Nej,Nej,2401,24,nordmalings kommun,kommun@nordmaling.se,0930-14000,http://www.nordmaling.se,,91481,NORDMALING
norrköpings kommun,Vet inte,Vet inte,Vet inte,581,5,norrköpings kommun,norrkoping.kommun@norrkoping.se,011-150000,http://www.norrkoping.se,Rådhuset,60181,NORRKÖPING
norrtälje kommun,Ja,Ja,Ja,188,1,norrtälje kommun,kontaktcenter@norrtalje.se,0176-710 00,http://www.norrtalje.se,Box 800,76128,NORRTÄLJE
norsjö kommun,Ja,Ja,Ja,2417,24,norsjö kommun,info@norsjo.se,0918-14000,http://www.norsjo.se,,93581,NORSJÖ
nybro kommun,Ja,Ja,Ja,881,8,nybro kommun,kommun@nybro.se,0481-45000,http://www.nybro.se,,38280,NYBRO
nykvarns kommun,Ja,Ja,Ja,140,1,nykvarns kommun,kommun@nykvarn.se,08-555 01000,http://www.nykvarn.se,,15580,NYKVARN
nyköpings kommun,Ja,Ja,Ja,480,4,nyköpings kommun,kommun@nykoping.se,0155-248000,http://www.nykoping.se,,61183,NYKÖPING
nynäshamns kommun,Ja,Ja,Ja,192,1,nynäshamns kommun,kommunstyrelsen@nynashamn.se,08-520 680 00,http://www.nynashamn.se,,14981,NYNÄSHAMN
nässjö kommun,Nej,Nej,Nej,682,6,nässjö kommun,kommunstyrelsen@nassjo.se,0380-51 80 00,http://www.nassjo.se,,57180,NÄSSJÖ
ockelbo kommun,Ja,Ja,Ja,2101,21,ockelbo kommun,kommun@ockelbo.se,0297-55500,http://www.ockelbo.se,,81680,OCKELBO
olofströms kommun,Ja,Ja,Ja,1060,10,olofströms kommun,ks@olofstrom.se,0454-93000,http://www.olofstrom.se,Box 302,29324,OLOFSTRÖM
orsa kommun,Ja,Ja,Ja,2034,20,orsa kommun,orsa.kommun@orsa.se,0250-552100,http://www.orsa.se,Box 23,79421,ORSA
orust kommun,Ja,Ja,Ja,1421,14,orust kommun,kommun@orust.se,0304-33 40 00,http://www.orust.se,,47380,HENÅN
osby kommun,Ja,Ja,Ja,1273,12,osby kommun,kommun@osby.se,0479-180 00,http://www.osby.se,,28380,OSBY
oskarshamns kommun,Nej,Nej,Nej,882,8,oskarshamns kommun,kommunen@oskarshamn.se,0491-88000,http://www.oskarshamn.se,Box 706,57228,OSKARSHAMN
ovanåkers kommun,Nej,Nej,Nej,2121,21,ovanåkers kommun,kommun@ovanaker.se,0271-570 00,http://www.ovanaker.se,,82880,EDSBYN
oxelösunds kommun,Ja,Ja,Ja,481,4,oxelösunds kommun,kommun@oxelosund.se,0155-38000,http://www.oxelosund.se,,61381,OXELÖSUND
pajala kommun,Ja,Ja,Ja,2521,25,pajala kommun,kommun@pajala.se,0978-12000,http://www.pajala.se,,98485,PAJALA
partille kommun,Ej svar,Ej svar,Ej svar,1402,14,partille kommun,kundcenter@partille.se,031-792 10 00,http://www.partille.se,,43382,PARTILLE
perstorps kommun,Ja,Ja,Ja,1275,12,perstorps kommun,kommunhuset@perstorp.se,0435-39000,http://www.perstorp.se,,28485,PERSTORP
piteå kommun,Ja,Ja,Vet inte,2581,25,piteå kommun,kommun@pitea.se,0911-696000,http://www.pitea.se,,94185,PITEÅ
ragunda kommun,Nej,Nej,Nej,2303,23,ragunda kommun,ragunda.kommun@ragunda.se,0696-68 20 00,http://www.ragunda.se,Box 150,84421,HAMMARSTRAND
robertsfors kommun,Ej svar,Ej svar,Ej svar,2409,24,robertsfors kommun,kommun@robertsfors.se,0934-14000,http://www.robertsfors.se,,91581,ROBERTSFORS
ronneby kommun,Nej,Nej,Nej,1081,10,ronneby kommun,stadshuset@ronneby.se,0457-618000,http://www.ronneby.se,Stadshuset,37280,RONNEBY
rättviks kommun,Ej svar,Ej svar,Ej svar,2031,20,rättviks kommun,kommun@rattvik.se,0248-70000,http://www.rattvik.se,,79580,RÄTTVIK
sala kommun,Ja,Ja,Ja,1981,19,sala kommun,kommun.info@sala.se,0224-74 70 00,http://www.sala.se,Box 304,73325,SALA
salems kommun,Ja,Ja,Ja,128,1,salems kommun,info@salem.se,08-53259800,http://www.salem.se,,14480,RÖNNINGE
