Läns-/kommunkod;Länstillhörighet;Namn;E-post;Telefon;Webbadress;Postaddress 1;Postnr;Ort
1494;14;Lidköpings kommun;kommun@lidkoping.se;0510-770000;http://www.lidkoping.se;;53188;LIDKÖPING
1462;14;Lilla Edets kommun;kommunen@lillaedet.se;0520-659500;http://www.lillaedet.se;;46380;LILLA EDET
1885;18;Lindesbergs kommun;kommun@lindesberg.se;0581-81000;http://www.lindesberg.se;;71180;LINDESBERG
0580;05;Linköpings kommun;kontakt@linkoping.se;013-20 60 00;http://www.linkoping.se;;58181;LINKÖPING
0781;07;Ljungby kommun;info@ljungby.se;0372-78 90 00;http://www.ljungby.se;;34183;LJUNGBY
2161;21;Ljusdals kommun;kommun@ljusdal.se;0651-18000;http://www.ljusdal.se;;82780;LJUSDAL
1864;18;Ljusnarsbergs kommun;kommun@ljusnarsberg.se;0580-805 00;http://www.ljusnarsberg.se;;71480;KOPPARBERG
1262;12;Lomma kommun;info@lomma.se;040-641 10 00;http://www.lomma.se;;23481;LOMMA
2085;20;Ludvika kommun;info@ludvika.se;0240-86000;http://www.ludvika.se;;77182;LUDVIKA
2580;25;Luleå kommun;lulea.kommun@lulea.se;0920-45 30 00;http://www.lulea.se;;97185;LULEÅ
1281;12;Lunds kommun;lunds.kommun@lund.se;046-355000;http://www.lund.se;Box 41;22100;LUND
2481;24;Lycksele kommun;kommun@lycksele.se;0950-16600;http://www.lycksele.se;;92181;LYCKSELE
1484;14;Lysekils kommun;registrator@lysekil.se;0523-61 30 00;http://www.lysekil.se;;45380;LYSEKIL
2418;24;Malå kommun;kommunstyrelsen@mala.se;0953-140 00;http://www.mala.se;;93070;MALÅ
1280;12;Malmö stad;kommunstyrelsen@malmo.se;040-341000;http://www.malmo.se;;20580;MALMÖ
2023;20;Malung-Sälens kommun;kommun@malung-salen.se;0280-18100;http://www.malung-salen.se;Box 14;78221;MALUNG
1493;14;Mariestads kommun;info@mariestad.se;0501-755000;http://www.mariestad.se;;54286;MARIESTAD
0767;07;Markaryds kommun;ks@markaryd.se;0433-72000;http://www.markaryd.se;Box 74;28522;MARKARYD
1463;14;Marks kommun;ks@mark.se;0320-217000;http://www.mark.se;;51180;KINNA
1461;14;Melleruds kommun;kommunen@mellerud.se;0530-18000;http://www.mellerud.se;;46480;MELLERUD
0586;05;Mjölby kommun;mjolbykommun@mjolby.se;0142-850 00;http://www.mjolby.se;;59580;MJÖLBY
1481;14;Mölndals stad;kontakt@molndal.se;031-315 10 00;http://www.molndal.se;;43182;MÖLNDAL
0861;08;Mönsterås kommun;kommun@monsteras.se;0499-17000;http://www.monsteras.se;Box 54;38322;MÖNSTERÅS
2062;20;Mora kommun;mora.kommun@mora.se;0250-26000;http://www.mora.se;;79280;MORA
0840;08;Mörbylånga kommun;kommun@morbylanga.se;0485-47000;http://www.morbylanga.se;;38680;MÖRBYLÅNGA
0583;05;Motala kommun;motala.kommun@motala.se;0141-22 50 00;http://www.motala.se/kommun;;59186;MOTALA
0642;06;Mullsjö kommun;kommun@mullsjo.se;0392-140 00;http://www.mullsjo.se;Box 47;56521;MULLSJÖ
1430;14;Munkedals kommun;munkedal.kommun@munkedal.se;0524-18000;http://www.munkedal.se;;45580;MUNKEDAL
1762;17;Munkfors kommun;kommun@munkfors.se;0563-54 10 00;http://www.munkfors.se;Box 13;68421;MUNKFORS
0182;01;Nacka kommun;registrator@nacka.se;08-718 80 00;http://www.nacka.se;;13181;NACKA
0682;06;Nässjö kommun;kommunstyrelsen@nassjo.se;0380-51 80 00;http://www.nassjo.se;;57180;NÄSSJÖ
1884;18;Nora kommun;nora.kommun@nora.se;0587-81000;http://www.nora.se;Tingshuset;71380;NORA
1962;19;Norbergs kommun;info@norberg.se;0223-290 00;http://www.norberg.se;Box 25;73821;NORBERG
2132;21;Nordanstigs kommun;kommun@nordanstig.se;0652-360 00;http://www.nordanstig.se;Box 56;82921;BERGSJÖ
2401;24;Nordmalings kommun;kommun@nordmaling.se;0930-14000;http://www.nordmaling.se;;91481;NORDMALING
0581;05;Norrköpings kommun;norrkoping.kommun@norrkoping.se;011-150000;http://www.norrkoping.se;Rådhuset;60181;NORRKÖPING
0188;01;Norrtälje kommun;kontaktcenter@norrtalje.se;0176-710 00;http://www.norrtalje.se;Box 800;76128;NORRTÄLJE
2417;24;Norsjö kommun;info@norsjo.se;0918-14000;http://www.norsjo.se;;93581;NORSJÖ
0881;08;Nybro kommun;kommun@nybro.se;0481-45000;http://www.nybro.se;;38280;NYBRO
0480;04;Nyköpings kommun;kommun@nykoping.se;0155-248000;http://www.nykoping.se;;61183;NYKÖPING
0140;01;Nykvarns kommun;kommun@nykvarn.se;08-555 01000;http://www.nykvarn.se;;15580;NYKVARN
0192;01;Nynäshamns kommun;kommunstyrelsen@nynashamn.se;08-520 680 00;http://www.nynashamn.se;;14981;NYNÄSHAMN
2101;21;Ockelbo kommun;kommun@ockelbo.se;0297-55500;http://www.ockelbo.se;;81680;OCKELBO
1407;14;Öckerö kommun;kommun@ockero.se;031-976200;http://www.ockero.se;;47580;ÖCKERÖ
0509;05;Ödeshögs kommun;kommun@odeshog.se;0144-35000;http://www.odeshog.se;;59980;ÖDESHÖG
1060;10;Olofströms kommun;ks@olofstrom.se;0454-93000;http://www.olofstrom.se;Box 302;29324;OLOFSTRÖM
1880;18;Örebro kommun;kommun@orebro.se;019-211000;http://www.orebro.se;Box 30000;70135;ÖREBRO
1257;12;Örkelljunga kommun;kommunkontor@orkelljunga.se;0435-55000;http://www.orkelljunga.se;;28680;ÖRKELLJUNGA
2284;22;Örnsköldsviks kommun;kommunen@ornskoldsvik.se;0660-880 00;http://www.ornskoldsvik.se;;89188;ÖRNSKÖLDSVIK
2034;20;Orsa kommun;orsa.kommun@orsa.se;0250-552100;http://www.orsa.se;Box 23;79421;ORSA
1421;14;Orust kommun;kommun@orust.se;0304-33 40 00;http://www.orust.se;;47380;HENÅN
1273;12;Osby kommun;kommun@osby.se;0479-180 00;http://www.osby.se;;28380;OSBY
0882;08;Oskarshamns kommun;kommunen@oskarshamn.se;0491-88000;http://www.oskarshamn.se;Box 706;57228;OSKARSHAMN
0117;01;Österåkers kommun;kommun@osteraker.se;08-54081000;http://www.osteraker.se;;18486;ÅKERSBERGA
2380;23;Östersunds kommun;kundcenter@ostersund.se;063-14 30 00;http://www.ostersund.se;;83182;ÖSTERSUND
0382;03;Östhammars kommun;kommunen@osthammar.se;0173-86000;http://www.osthammar.se;Box 66;74221;ÖSTHAMMAR
1256;12;Östra Göinge kommun;kommun@ostragoinge.se;044-775 60 00;http://www.ostragoinge.se;Storgatan 4;28941;BROBY
2121;21;Ovanåkers kommun;kommun@ovanaker.se;0271-570 00;http://www.ovanaker.se;;82880;EDSBYN
2513;25;Överkalix kommun;kommun@overkalix.se;0926-74000;http://www.overkalix.se;;95681;ÖVERKALIX
2518;25;Övertorneå kommun;kommun@overtornea.se;0927-72000;http://www.overtornea.se;;95785;ÖVERTORNEÅ
0481;04;Oxelösunds kommun;kommun@oxelosund.se;0155-38000;http://www.oxelosund.se;;61381;OXELÖSUND
2521;25;Pajala kommun;kommun@pajala.se;0978-12000;http://www.pajala.se;;98485;PAJALA
1402;14;Partille kommun;kundcenter@partille.se;031-792 10 00;http://www.partille.se;;43382;PARTILLE
1275;12;Perstorps kommun;kommunhuset@perstorp.se;0435-39000;http://www.perstorp.se;;28485;PERSTORP
2581;25;Piteå kommun;kommun@pitea.se;0911-696000;http://www.pitea.se;;94185;PITEÅ
2303;23;Ragunda kommun;ragunda.kommun@ragunda.se;0696-68 20 00;http://www.ragunda.se;Box 150;84421;HAMMARSTRAND
2031;20;Rättviks kommun;kommun@rattvik.se;0248-70000;http://www.rattvik.se;;79580;RÄTTVIK
0980;09;Region Gotland (kommun);regiongotland@gotland.se;0498-26 90 00;http://www.gotland.se;;62181;VISBY
2409;24;Robertsfors kommun;kommun@robertsfors.se;0934-14000;http://www.robertsfors.se;;91581;ROBERTSFORS
1081;10;Ronneby kommun;stadshuset@ronneby.se;0457-618000;http://www.ronneby.se;Stadshuset;37280;RONNEBY
1785;17;Säffle kommun;kommun@saffle.se;0533-681000;http://www.saffle.se;;66180;SÄFFLE
1981;19;Sala kommun;kommun.info@sala.se;0224-74 70 00;http://www.sala.se;Box 304;73325;SALA
0128;01;Salems kommun;info@salem.se;08-53259800;http://www.salem.se;;14480;RÖNNINGE
2181;21;Sandvikens kommun;kommun@sandviken.se;026-240000;http://www.sandviken.se;;81180;SANDVIKEN
2082;20;Säters kommun;kommun@sater.se;0225-550 00;http://www.sater.se;Box 300;78327;SÄTER
0684;06;Sävsjö kommun;kommun@savsjo.se;0382-15200;http://www.savsjo.se;;57680;SÄVSJÖ
0191;01;Sigtuna kommun;sigtuna.kommun@sigtuna.se;08-59126000;http://www.sigtuna.se;;19585;MÄRSTA
1291;12;Simrishamns kommun;simrishamns.kommun@simrishamn.se;0414-81 90 00;http://www.simrishamn.se;;27280;SIMRISHAMN
1265;12;Sjöbo kommun;kommun@sjobo.se;0416-27000;http://www.sjobo.se;;27580;SJÖBO
1495;14;Skara kommun;skara.kommun@skara.se;0511-32000;http://www.skara.se;;53288;SKARA
2482;24;Skellefteå kommun;kundtjanst@skelleftea.se;0910-735000;http://www.skelleftea.se;;93185;SKELLEFTEÅ
1904;19;Skinnskattebergs kommun;kommun@skinnskatteberg.se;0222-45000;http://www.skinnskatteberg.se;Box 101;73922;SKINNSKATTEBERG
1496;14;Skövde kommun;skovdekommun@skovde.se;0500-49 80 00;http://www.skovde.se;;54183;SKÖVDE
1264;12;Skurups kommun;kansli@skurup.se;0411-536000;http://www.skurup.se;;27480;SKURUP
2061;20;Smedjebackens kommun;kommun@smedjebacken.se;0240-660000;http://www.smedjebacken.se;;77781;SMEDJEBACKEN
2182;21;Söderhamns kommun;kommunstyrelsen@soderhamn.se;0270-75000;http://www.soderhamn.se;;82680;SÖDERHAMN
0582;05;Söderköpings kommun;kommun@soderkoping.se;0121-18100;http://www.soderkoping.se;;61480;SÖDERKÖPING
0181;01;Södertälje kommun;sodertalje.kommun@sodertalje.se;08-523 010 00;http://www.sodertalje.se;;15189;SÖDERTÄLJE
2283;22;Sollefteå kommun;kommun@solleftea.se;0620-682000;http://www.solleftea.se;;88180;SOLLEFTEÅ
0163;01;Sollentuna kommun;sollentuna.kommun@sollentuna.se;08-57921000;http://www.sollentuna.se;;19186;SOLLENTUNA
0184;01;Solna stad;kommunstyrelsen@solna.se;08-746 10 00;http://www.solna.se;;17186;SOLNA
1083;10;Sölvesborgs kommun;info@solvesborg.se;0456-81 60 00;http://www.solvesborg.se;;29480;SÖLVESBORG
2422;24;Sorsele kommun;kommun@sorsele.se;0952-140 00;http://www.sorsele.se;;92481;SORSELE
1427;14;Sotenäs kommun;info@sotenas.se;0523 - 66 40 00;http://www.sotenas.se;;45680;KUNGSHAMN
1230;12;Staffanstorps kommun;kommunen@staffanstorp.se;046-251100;http://www.staffanstorp.se;;24580;STAFFANSTORP
1415;14;Stenungsunds kommun;kommun@stenungsund.se;0303-730000;http://www.stenungsund.se;;44482;STENUNGSUND
0180;01;Stockholms stad;kommunstyrelsen@stockholm.se;08 - 508 290 00;http://www.stockholm.se;Stadshuset;10535;STOCKHOLM
1760;17;Storfors kommun;storfors.kommun@storfors.se;0550-65100;http://www.storfors.se;Box 1001;68829;STORFORS
2421;24;Storumans kommun;ks@storuman.se;0951-14000;http://www.storuman.se;;92381;STORUMAN
0486;04;Strängnäs kommun;kommun@strangnas.se;0152-291 00;http://www.strangnas.se;;64580;STRÄNGNÄS
1486;14;Strömstads kommun;kommun@stromstad.se;0526-19000;http://www.stromstad.se;;45280;STRÖMSTAD
2313;23;Strömsunds kommun;kommun@stromsund.se;0670-161 00;http://www.stromsund.se;Box 500;83324;STRÖMSUND
0183;01;Sundbybergs stad;kommunstyrelsen@sundbyberg.se;08-7068000;http://www.sundbyberg.se;;17292;SUNDBYBERG
2281;22;Sundsvalls kommun;sundsvalls.kommun@sundsvall.se;060-191000;http://www.sundsvall.se;;85185;SUNDSVALL
1766;17;Sunne kommun;kommun@sunne.se;0565-16000;http://www.sunne.se;;68680;SUNNE
1907;19;Surahammars kommun;kommunen@surahammar.se;0220-39000;http://www.surahammar.se;Box 203;73523;SURAHAMMAR
1214;12;Svalövs kommun;info@svalov.se;0418-475000;http://www.svalov.se;;26880;SVALÖV
1263;12;Svedala kommun;kommunen@svedala.se;040-626 80 00;http://www.svedala.se;;23380;SVEDALA
1465;14;Svenljunga kommun;kansliet@svenljunga.se;0325-18000;http://www.svenljunga.se;;51280;SVENLJUNGA
0160;01;Täby kommun;kc@taby.se;08-555 590 00;http://www.taby.se;;18380;TÄBY
