"Uudenmaan väestö äidinkielen, sukupuolen ja iän mukaan 31.12."

"Uppgifter","Språk","Kön","Ålder","2023"
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","13-15-vuotiaat",4330
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","16-18-vuotiaat",4241
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","19-vuotiaat",1525
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","20-29-vuotiaat",22595
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","30-39-vuotiaat",32610
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","40-49-vuotiaat",22166
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","50-64-vuotiaat",17506
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","65-74-vuotiaat",4692
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","75-84-vuotiaat",1545
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 65-vuotiaat",6649
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 75-vuotiaat",1957
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 85-vuotiaat",412
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","Väestö yhteensä",69457
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","0-6-vuotiaat",5365
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","7-12-vuotiaat",5013
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","13-15-vuotiaat",2226
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","16-18-vuotiaat",2183
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","19-vuotiaat",788
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","20-29-vuotiaat",11663
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","30-39-vuotiaat",17784
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","40-49-vuotiaat",12378
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","50-64-vuotiaat",9010
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","65-74-vuotiaat",2163
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","75-84-vuotiaat",737
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","Yli 65-vuotiaat",3047
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","Yli 75-vuotiaat",884
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Män","Yli 85-vuotiaat",147
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Väestö yhteensä",62421
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","0-6-vuotiaat",5187
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","7-12-vuotiaat",4691
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","13-15-vuotiaat",2104
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","16-18-vuotiaat",2058
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","19-vuotiaat",737
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","20-29-vuotiaat",10932
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","30-39-vuotiaat",14826
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","40-49-vuotiaat",9788
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","50-64-vuotiaat",8496
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","65-74-vuotiaat",2529
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","75-84-vuotiaat",808
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 65-vuotiaat",3602
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 75-vuotiaat",1073
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 85-vuotiaat",265
"Espoo","Totalt","Totalt","Väestö yhteensä",314024
"Espoo","Totalt","Totalt","0-6-vuotiaat",23995
"Espoo","Totalt","Totalt","7-12-vuotiaat",23660
"Espoo","Totalt","Totalt","13-15-vuotiaat",11989
"Espoo","Totalt","Totalt","16-18-vuotiaat",11756
"Espoo","Totalt","Totalt","19-vuotiaat",3745
"Espoo","Totalt","Totalt","20-29-vuotiaat",40805
"Espoo","Totalt","Totalt","30-39-vuotiaat",51839
"Espoo","Totalt","Totalt","40-49-vuotiaat",46232
"Espoo","Totalt","Totalt","50-64-vuotiaat",52570
"Espoo","Totalt","Totalt","65-74-vuotiaat",24708
"Espoo","Totalt","Totalt","75-84-vuotiaat",17535
"Espoo","Totalt","Totalt","Yli 65-vuotiaat",47433
"Espoo","Totalt","Totalt","Yli 75-vuotiaat",22725
"Espoo","Totalt","Totalt","Yli 85-vuotiaat",5190
"Espoo","Totalt","Män","Väestö yhteensä",156561
"Espoo","Totalt","Män","0-6-vuotiaat",12320
"Espoo","Totalt","Män","7-12-vuotiaat",12192
"Espoo","Totalt","Män","13-15-vuotiaat",6185
"Espoo","Totalt","Män","16-18-vuotiaat",5970
"Espoo","Totalt","Män","19-vuotiaat",1909
"Espoo","Totalt","Män","20-29-vuotiaat",21460
"Espoo","Totalt","Män","30-39-vuotiaat",26737
"Espoo","Totalt","Män","40-49-vuotiaat",23640
"Espoo","Totalt","Män","50-64-vuotiaat",25870
"Espoo","Totalt","Män","65-74-vuotiaat",11062
"Espoo","Totalt","Män","75-84-vuotiaat",7406
"Espoo","Totalt","Män","Yli 65-vuotiaat",20278
"Espoo","Totalt","Män","Yli 75-vuotiaat",9216
"Espoo","Totalt","Män","Yli 85-vuotiaat",1810
"Espoo","Totalt","Kvinnor","Väestö yhteensä",157463
"Espoo","Totalt","Kvinnor","0-6-vuotiaat",11675
"Espoo","Totalt","Kvinnor","7-12-vuotiaat",11468
"Espoo","Totalt","Kvinnor","13-15-vuotiaat",5804
"Espoo","Totalt","Kvinnor","16-18-vuotiaat",5786
"Espoo","Totalt","Kvinnor","19-vuotiaat",1836
"Espoo","Totalt","Kvinnor","20-29-vuotiaat",19345
"Espoo","Totalt","Kvinnor","30-39-vuotiaat",25102
"Espoo","Totalt","Kvinnor","40-49-vuotiaat",22592
"Espoo","Totalt","Kvinnor","50-64-vuotiaat",26700
"Espoo","Totalt","Kvinnor","65-74-vuotiaat",13646
"Espoo","Totalt","Kvinnor","75-84-vuotiaat",10129
"Espoo","Totalt","Kvinnor","Yli 65-vuotiaat",27155
"Espoo","Totalt","Kvinnor","Yli 75-vuotiaat",13509
"Espoo","Totalt","Kvinnor","Yli 85-vuotiaat",3380
"Espoo","Suomi ja saame","Totalt","Väestö yhteensä",219621
"Espoo","Suomi ja saame","Totalt","0-6-vuotiaat",14914
"Espoo","Suomi ja saame","Totalt","7-12-vuotiaat",15394
"Espoo","Suomi ja saame","Totalt","13-15-vuotiaat",8301
"Espoo","Suomi ja saame","Totalt","16-18-vuotiaat",8277
"Espoo","Suomi ja saame","Totalt","19-vuotiaat",2701
"Espoo","Suomi ja saame","Totalt","20-29-vuotiaat",26729
"Espoo","Suomi ja saame","Totalt","30-39-vuotiaat",30236
"Espoo","Suomi ja saame","Totalt","40-49-vuotiaat",31143
"Espoo","Suomi ja saame","Totalt","50-64-vuotiaat",41259
"Espoo","Suomi ja saame","Totalt","65-74-vuotiaat",21023
"Espoo","Suomi ja saame","Totalt","75-84-vuotiaat",15236
"Espoo","Suomi ja saame","Totalt","Yli 65-vuotiaat",40667
"Espoo","Suomi ja saame","Totalt","Yli 75-vuotiaat",19644
"Espoo","Suomi ja saame","Totalt","Yli 85-vuotiaat",4408
"Espoo","Suomi ja saame","Män","Väestö yhteensä",107408
"Espoo","Suomi ja saame","Män","0-6-vuotiaat",7602
"Espoo","Suomi ja saame","Män","7-12-vuotiaat",8044
"Espoo","Suomi ja saame","Män","13-15-vuotiaat",4290
"Espoo","Suomi ja saame","Män","16-18-vuotiaat",4237
"Espoo","Suomi ja saame","Män","19-vuotiaat",1356
"Espoo","Suomi ja saame","Män","20-29-vuotiaat",14062
"Espoo","Suomi ja saame","Män","30-39-vuotiaat",15375
"Espoo","Suomi ja saame","Män","40-49-vuotiaat",15416
"Espoo","Suomi ja saame","Män","50-64-vuotiaat",20016
"Espoo","Suomi ja saame","Män","65-74-vuotiaat",9227
"Espoo","Suomi ja saame","Män","75-84-vuotiaat",6294
"Espoo","Suomi ja saame","Män","Yli 65-vuotiaat",17010
"Espoo","Suomi ja saame","Män","Yli 75-vuotiaat",7783
"Espoo","Suomi ja saame","Män","Yli 85-vuotiaat",1489
"Espoo","Suomi ja saame","Kvinnor","Väestö yhteensä",112213
"Espoo","Suomi ja saame","Kvinnor","0-6-vuotiaat",7312
"Espoo","Suomi ja saame","Kvinnor","7-12-vuotiaat",7350
"Espoo","Suomi ja saame","Kvinnor","13-15-vuotiaat",4011
"Espoo","Suomi ja saame","Kvinnor","16-18-vuotiaat",4040
"Espoo","Suomi ja saame","Kvinnor","19-vuotiaat",1345
"Espoo","Suomi ja saame","Kvinnor","20-29-vuotiaat",12667
"Espoo","Suomi ja saame","Kvinnor","30-39-vuotiaat",14861
"Espoo","Suomi ja saame","Kvinnor","40-49-vuotiaat",15727
"Espoo","Suomi ja saame","Kvinnor","50-64-vuotiaat",21243
"Espoo","Suomi ja saame","Kvinnor","65-74-vuotiaat",11796
"Espoo","Suomi ja saame","Kvinnor","75-84-vuotiaat",8942
"Espoo","Suomi ja saame","Kvinnor","Yli 65-vuotiaat",23657
"Espoo","Suomi ja saame","Kvinnor","Yli 75-vuotiaat",11861
"Espoo","Suomi ja saame","Kvinnor","Yli 85-vuotiaat",2919
"Espoo","Ruotsi","Totalt","Väestö yhteensä",20199
"Espoo","Ruotsi","Totalt","0-6-vuotiaat",1898
"Espoo","Ruotsi","Totalt","7-12-vuotiaat",1744
"Espoo","Ruotsi","Totalt","13-15-vuotiaat",983
"Espoo","Ruotsi","Totalt","16-18-vuotiaat",996
"Espoo","Ruotsi","Totalt","19-vuotiaat",266
"Espoo","Ruotsi","Totalt","20-29-vuotiaat",1978
"Espoo","Ruotsi","Totalt","30-39-vuotiaat",2299
"Espoo","Ruotsi","Totalt","40-49-vuotiaat",2313
"Espoo","Ruotsi","Totalt","50-64-vuotiaat",3235
"Espoo","Ruotsi","Totalt","65-74-vuotiaat",1991
"Espoo","Ruotsi","Totalt","75-84-vuotiaat",1854
"Espoo","Ruotsi","Totalt","Yli 65-vuotiaat",4487
"Espoo","Ruotsi","Totalt","Yli 75-vuotiaat",2496
"Espoo","Ruotsi","Totalt","Yli 85-vuotiaat",642
"Espoo","Ruotsi","Män","Väestö yhteensä",10329
"Espoo","Ruotsi","Män","0-6-vuotiaat",1013
"Espoo","Ruotsi","Män","7-12-vuotiaat",897
"Espoo","Ruotsi","Män","13-15-vuotiaat",511
"Espoo","Ruotsi","Män","16-18-vuotiaat",516
"Espoo","Ruotsi","Män","19-vuotiaat",137
"Espoo","Ruotsi","Män","20-29-vuotiaat",1062
"Espoo","Ruotsi","Män","30-39-vuotiaat",1220
"Espoo","Ruotsi","Män","40-49-vuotiaat",1173
"Espoo","Ruotsi","Män","50-64-vuotiaat",1650
"Espoo","Ruotsi","Män","65-74-vuotiaat",1007
"Espoo","Ruotsi","Män","75-84-vuotiaat",887
"Espoo","Ruotsi","Män","Yli 65-vuotiaat",2150
"Espoo","Ruotsi","Män","Yli 75-vuotiaat",1143
"Espoo","Ruotsi","Män","Yli 85-vuotiaat",256
"Espoo","Ruotsi","Kvinnor","Väestö yhteensä",9870
"Espoo","Ruotsi","Kvinnor","0-6-vuotiaat",885
"Espoo","Ruotsi","Kvinnor","7-12-vuotiaat",847
"Espoo","Ruotsi","Kvinnor","13-15-vuotiaat",472
"Espoo","Ruotsi","Kvinnor","16-18-vuotiaat",480
"Espoo","Ruotsi","Kvinnor","19-vuotiaat",129
"Espoo","Ruotsi","Kvinnor","20-29-vuotiaat",916
"Espoo","Ruotsi","Kvinnor","30-39-vuotiaat",1079
"Espoo","Ruotsi","Kvinnor","40-49-vuotiaat",1140
"Espoo","Ruotsi","Kvinnor","50-64-vuotiaat",1585
"Espoo","Ruotsi","Kvinnor","65-74-vuotiaat",984
"Espoo","Ruotsi","Kvinnor","75-84-vuotiaat",967
"Espoo","Ruotsi","Kvinnor","Yli 65-vuotiaat",2337
"Espoo","Ruotsi","Kvinnor","Yli 75-vuotiaat",1353
"Espoo","Ruotsi","Kvinnor","Yli 85-vuotiaat",386
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","Väestö yhteensä",74204
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","0-6-vuotiaat",7183
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","7-12-vuotiaat",6522
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","13-15-vuotiaat",2705
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","16-18-vuotiaat",2483
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","19-vuotiaat",778
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","20-29-vuotiaat",12098
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","30-39-vuotiaat",19304
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","40-49-vuotiaat",12776
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","50-64-vuotiaat",8076
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","65-74-vuotiaat",1694
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","75-84-vuotiaat",445
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 65-vuotiaat",2279
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 75-vuotiaat",585
"Espoo","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 85-vuotiaat",140
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","Väestö yhteensä",38824
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","0-6-vuotiaat",3705
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","7-12-vuotiaat",3251
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","13-15-vuotiaat",1384
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","16-18-vuotiaat",1217
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","19-vuotiaat",416
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","20-29-vuotiaat",6336
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","30-39-vuotiaat",10142
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","40-49-vuotiaat",7051
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","50-64-vuotiaat",4204
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","65-74-vuotiaat",828
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","75-84-vuotiaat",225
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","Yli 65-vuotiaat",1118
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","Yli 75-vuotiaat",290
"Espoo","FRÄMMANDE SPRÅK TOTALT","Män","Yli 85-vuotiaat",65
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Väestö yhteensä",35380
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","0-6-vuotiaat",3478
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","7-12-vuotiaat",3271
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","13-15-vuotiaat",1321
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","16-18-vuotiaat",1266
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","19-vuotiaat",362
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","20-29-vuotiaat",5762
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","30-39-vuotiaat",9162
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","40-49-vuotiaat",5725
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","50-64-vuotiaat",3872
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","65-74-vuotiaat",866
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","75-84-vuotiaat",220
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 65-vuotiaat",1161
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 75-vuotiaat",295
"Espoo","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 85-vuotiaat",75
"Vantaa","Totalt","Totalt","Väestö yhteensä",247443
"Vantaa","Totalt","Totalt","0-6-vuotiaat",18022
"Vantaa","Totalt","Totalt","7-12-vuotiaat",16867
"Vantaa","Totalt","Totalt","13-15-vuotiaat",8677
"Vantaa","Totalt","Totalt","16-18-vuotiaat",8454
"Vantaa","Totalt","Totalt","19-vuotiaat",2911
"Vantaa","Totalt","Totalt","20-29-vuotiaat",32738
"Vantaa","Totalt","Totalt","30-39-vuotiaat",42170
"Vantaa","Totalt","Totalt","40-49-vuotiaat",35971
"Vantaa","Totalt","Totalt","50-64-vuotiaat",42846
"Vantaa","Totalt","Totalt","65-74-vuotiaat",20696
"Vantaa","Totalt","Totalt","75-84-vuotiaat",14085
"Vantaa","Totalt","Totalt","Yli 65-vuotiaat",38787
"Vantaa","Totalt","Totalt","Yli 75-vuotiaat",18091
"Vantaa","Totalt","Totalt","Yli 85-vuotiaat",4006
"Vantaa","Totalt","Män","Väestö yhteensä",125191
"Vantaa","Totalt","Män","0-6-vuotiaat",9137
"Vantaa","Totalt","Män","7-12-vuotiaat",8745
"Vantaa","Totalt","Män","13-15-vuotiaat",4554
"Vantaa","Totalt","Män","16-18-vuotiaat",4277
"Vantaa","Totalt","Män","19-vuotiaat",1445
"Vantaa","Totalt","Män","20-29-vuotiaat",16946
"Vantaa","Totalt","Män","30-39-vuotiaat",22773
"Vantaa","Totalt","Män","40-49-vuotiaat",19171
"Vantaa","Totalt","Män","50-64-vuotiaat",21683
"Vantaa","Totalt","Män","65-74-vuotiaat",9332
"Vantaa","Totalt","Män","75-84-vuotiaat",5833
"Vantaa","Totalt","Män","Yli 65-vuotiaat",16460
"Vantaa","Totalt","Män","Yli 75-vuotiaat",7128
